评论内容,fenci,主题概率,主题类型
位置绝佳，吃饭，逛街，打车，地铁都非常方便。非常适合带闺蜜来拍拍拍，房间很整洁干净，再来长沙还会选择。,位置 吃饭 逛街 打车 地铁 闺蜜 拍拍 房间 整洁 干净 选择,"[(6, 0.6179174), (8, 0.31156528)]",6
住宿很安静，还配备了戴森吹风机，真的不错,住宿 配备 吹风机 不错,"[(0, 0.015385409), (1, 0.0153852925), (2, 0.015385246), (3, 0.015385352), (4, 0.015385291), (5, 0.015385342), (6, 0.015385595), (7, 0.015385291), (8, 0.0153853865), (9, 0.015385345), (10, 0.015385379), (11, 0.8153757), (12, 0.015385387)]",11
赞 房间采光、房间面积、住宿安全、蚊虫治理、地段、性价比令我满意；环境特别好，服务也很耐思,房间 采光 房间 面积 住宿 蚊虫 治理 地段 性价比 满意 环境 很耐思,"[(7, 0.9289855)]",7
就在潮宗街上，位置优越，五一、黄兴步行街、太平老街都在附近，楼下是咖啡厅，楼上是民宿，房间虽不大，但设备齐全，有免治马桶、戴森吹风机，尤其洗发水和冲凉液特别香。由于未到入住时间，员工亚鹏让我存放行李，结果不到半小时就通知可以提前入住，帮忙提行李之余还介绍长沙很多好玩好吃的，亚鹏真的很热心、服务周全。 离民宿5分钟的万达广场里有一个不错的泰式按摩，去长沙四天就按了两天，环境和技师一流。,潮宗 位置 优越 步行街 老街 咖啡厅 民宿 房间 免治 马桶 吹风机 冲凉 入住 时间 员工 存放 行李 不到 通知 提前 入住 帮忙 行李 介绍 好玩 好吃 热心 民宿 广场 不错 按摩 环境 技师 一流,"[(12, 0.97362447)]",12
房间装修风格真的超级喜欢，设施也很新！洗衣服做饭什么的很方便，很适合情侣出游。地理位置优越，交通方便，靠近地铁站，距离市中心也不远。旁边就有购物中心，茶颜悦色和一些餐馆。总之非常愉悦的入住体验！,房间 装修 风格 喜欢 设施 洗衣服 做饭 适合 情侣 地理位置 优越 交通 靠近 地铁站 距离 市中心 购物中心 餐馆 愉悦 入住 体验,"[(9, 0.9580393)]",9
住了三个房型，第一天摩卡第二天琉白，第三四天 晨汐，这里的每个房型名字都好好。房间基本跟照片一致，都很好看，床很舒服！！！民宿离地铁站很近，出行比较方便，楼下润和广场那里就有一个小夜市，好像会营业到晚上十一点多十二点这样，那里有一个卖啤酒的摊档，荔枝海盐味和百香果味很好喝哈哈哈哈哈！去四方坪夜市也很近，还是比较方便的！小姐姐服务态度都很好，很贴心！下次去长沙还是选择这里哦！,房型 晨汐 房型 名字 房间 照片 好看 舒服 民宿 地铁站 出行 广场 夜市 好像 营业 啤酒 摊档 荔枝 海盐 百香果 好喝 夜市 服务态度 贴心 选择,"[(12, 0.9644939)]",12
来到长沙住过的最舒服的民宿，体验感真的是很棒 很适合拍照，很温馨，还有个超大的投影，可以说是体验感拉满了，观影效果也是拉满了,来到 民宿 体验 很棒 适合 拍照 超大 投影 体验 拉满 观影 效果 拉满,"[(3, 0.93406093)]",3
房间干净、漂亮。适合拍照呀、落地窗好有感觉。距离地铁站五分钟路程、超方便。楼下有夜市、茶颜悦色、各种小吃。,房间 干净 漂亮 适合 拍照 落地窗 感觉 距离 地铁站 路程 夜市 小吃,"[(7, 0.928987)]",7
旁边就有茶颜悦色，酒店不错，性价比高，挺好,酒店 不错 性价比,"[(0, 0.019231325), (1, 0.019231977), (2, 0.019231295), (3, 0.019231178), (4, 0.019231211), (5, 0.01923146), (6, 0.7692228), (7, 0.019231519), (8, 0.019231495), (9, 0.019231219), (10, 0.01923136), (11, 0.019231886), (12, 0.019231232)]",6
房间很好看 就是我们两个人住有点浪费了 住四个人刚好！楼下茶颜 罗家臭豆腐 小龙虾什么都有 还不用排队 就是卫生可以再搞得好一点！离地铁站步行10分钟左右 去五一广场就几个站 很方便啦～下次去还会住这里！,房间 好看 浪费 臭豆腐 不用 排队 卫生 地铁站 步行,"[(2, 0.9076857)]",2
非常好看的房间，干净明亮。超级喜欢。小姐姐人也很好，楼下就是商场，买东西也很方便。值得推荐，跟照片一样不踩雷,好看 房间 干净 明亮 喜欢 商场 值得 推荐 照片,"[(2, 0.90768677)]",2
卫生条件非常差、卫生间墙上遗留上位顾客的头发很多在墙上、特别是那个洗衣机里面是真的脏啊！其他的都还行,卫生条件 卫生间 上位 头发 洗衣机 还行,"[(0, 0.010990311), (1, 0.01099035), (2, 0.8681158), (3, 0.010990501), (4, 0.010990263), (5, 0.010990414), (6, 0.010990263), (7, 0.010990498), (8, 0.010990308), (9, 0.010990299), (10, 0.01099028), (11, 0.010990315), (12, 0.010990419)]",2
房间和图片差不多，感觉挺干净的，无人自助入住太适合我这种社恐哈哈哈哈,房间 图片 感觉 干净 无人 自助 入住 适合 社恐,"[(8, 0.90768665)]",8
环境好，老板服务好，耐心带我选房，细心服务值得推荐,环境 老板 耐心 选房 细心 值得 推荐,"[(3, 0.884608)]",3
这次来长沙还是住的梦，环境很整洁,环境 整洁,"[(0, 0.025641415), (1, 0.02564166), (2, 0.025641305), (3, 0.02564131), (4, 0.6923021), (5, 0.025641833), (6, 0.02564149), (7, 0.025641544), (8, 0.025641698), (9, 0.0256414), (10, 0.025641488), (11, 0.025641343), (12, 0.025641387)]",4
挺好的，没住很久不做评论.,没住 评论,"[(0, 0.025647417), (1, 0.02564782), (2, 0.02564763), (3, 0.025648013), (4, 0.025647417), (5, 0.025647417), (6, 0.025647417), (7, 0.6922297), (8, 0.025647417), (9, 0.025647417), (10, 0.025647417), (11, 0.025647417), (12, 0.025647543)]",7
房间比较吵 基础设施一般,房间 基础设施,"[(0, 0.025644453), (1, 0.025644405), (2, 0.025644476), (3, 0.02564446), (4, 0.025644349), (5, 0.025644388), (6, 0.025644382), (7, 0.6922669), (8, 0.025644515), (9, 0.025644453), (10, 0.025644364), (11, 0.025644403), (12, 0.025644453)]",7
设施：很棒,设施 很棒,"[(0, 0.025642553), (1, 0.37816668), (2, 0.025642188), (3, 0.025642818), (4, 0.33976737), (5, 0.025642172), (6, 0.025641926), (7, 0.025642442), (8, 0.025642643), (9, 0.025642144), (10, 0.025642298), (11, 0.025641972), (12, 0.025642745)]",1
超级超级好的装修,装修,"[(0, 0.03846265), (1, 0.038463052), (2, 0.038462956), (3, 0.038462996), (4, 0.038462218), (5, 0.038462404), (6, 0.038462218), (7, 0.038463492), (8, 0.038463045), (9, 0.5384472), (10, 0.03846285), (11, 0.038462404), (12, 0.038462527)]",9
很好干净卫生,干净 卫生,"[(0, 0.025641298), (1, 0.025641525), (2, 0.025641566), (3, 0.025641287), (4, 0.025641201), (5, 0.6923031), (6, 0.02564154), (7, 0.025641704), (8, 0.02564143), (9, 0.025641378), (10, 0.025641242), (11, 0.025641372), (12, 0.025641376)]",5
哎呦，不错哦,不错,"[(0, 0.038461883), (1, 0.038461678), (2, 0.038461693), (3, 0.0384617), (4, 0.03846186), (5, 0.038461685), (6, 0.5384582), (7, 0.038461648), (8, 0.03846205), (9, 0.038461857), (10, 0.038462065), (11, 0.038461823), (12, 0.038461786)]",6
非常值得推荐,值得 推荐,"[(0, 0.025641413), (1, 0.025641667), (2, 0.025641577), (3, 0.025641788), (4, 0.025641467), (5, 0.02564163), (6, 0.025641495), (7, 0.025641635), (8, 0.025641423), (9, 0.025641927), (10, 0.025642358), (11, 0.025641471), (12, 0.69230014)]",12
很舒适，干净,舒适 干净,"[(0, 0.025641356), (1, 0.02564158), (2, 0.025641523), (3, 0.02564132), (4, 0.025641605), (5, 0.025641715), (6, 0.02564161), (7, 0.025641663), (8, 0.69230163), (9, 0.025641505), (10, 0.025641289), (11, 0.025641475), (12, 0.025641685)]",8
环境非常好,环境,"[(0, 0.038462475), (1, 0.53845423), (2, 0.03846176), (3, 0.03846185), (4, 0.03846327), (5, 0.038462), (6, 0.038462162), (7, 0.03846208), (8, 0.03846245), (9, 0.038461838), (10, 0.03846211), (11, 0.038461946), (12, 0.038461804)]",1
"位置方便近地铁,楼下已有夜市,非常热闹.",位置 地铁 已有 夜市 热闹,"[(0, 0.012821322), (1, 0.012821389), (2, 0.012821294), (3, 0.012821273), (4, 0.0128212795), (5, 0.012821363), (6, 0.012821294), (7, 0.012821321), (8, 0.84614414), (9, 0.012821311), (10, 0.012821348), (11, 0.012821287), (12, 0.012821366)]",8
房间设施很好！很齐全！真的很好！老板人超好！特别温暖～下回来长沙还住大梦～有朋友来也会推荐～谢谢老板让我在陌生的城市感觉到温暖～房间也很漂亮～因为这几天身体不舒服没顾上拍好看的照片～大家真的可以放心冲～,房间 设施 老板 超好 温暖 回来 朋友 推荐 老板 陌生 感觉 温暖 房间 很漂亮 身体 舒服 没顾 好看 照片 放心,"[(7, 0.95603937)]",7
很新的大厦，位置离地铁站有点距离，但不远，拉行李箱走路几分钟就到，装修都很新，可以洗衣服，有冰箱，很方便，就是卫生间是不是应该有个挡水帘会更好些,大厦 位置 地铁站 距离 行李箱 走路 装修 洗衣服 冰箱 卫生间 水帘,"[(7, 0.9230671)]",7
房间舒适，干净，管家管理比较到位，有什么信息及时告知，服务比较到位。位置比较好，晚上休息也不吵，值得一家人入住。,房间 舒适 干净 管家 到位 信息 告知 到位 位置 休息 值得 一家人 入住,"[(8, 0.9340612)]",8
房间跟图片上一样，收拾得很干净，冰箱洗衣机都有，全自助入住社恐友好，高层还安静，附近就是米粉街，离五一广场也不远，很棒的入住体验！,房间 图片 收拾 干净 冰箱 洗衣机 自助 入住 社恐 友好 高层 很棒 入住 体验,"[(12, 0.93845683)]",12
确实不错，就是早上有装修的声音 而且位置特别方便 适合朋友结伴 很不错的哦 大家勇敢冲，而且旁边的有个书屋特别不错,确实 不错 装修 声音 位置 适合 朋友 结伴 不错 勇敢 书屋 不错,"[(10, 0.9289899)]",10
第一次住民宿，体验感很不错的民宿。室内格局非常喜欢，窗外视野非常好。老板人很，无接触入住，但是服务很赞。总之，非常推荐哦。下次来长沙还入住大梦。,民宿 体验 不错 民宿 格局 喜欢 视野 老板 接触 入住 推荐 入住,"[(9, 0.26166442), (12, 0.6732423)]",12
酒店整体还是不错的，坐地铁的地理位置就是去哪都不远，晚上不热步行去五一广场或者都还不远，楼下也有小超市啥的，挺方便,酒店 整体 不错 地理位置 步行 超市,"[(0, 0.010989788), (1, 0.010989824), (2, 0.010989886), (3, 0.010989644), (4, 0.010989664), (5, 0.010989695), (6, 0.010989756), (7, 0.010989806), (8, 0.010989762), (9, 0.010989683), (10, 0.86812305), (11, 0.010989789), (12, 0.010989679)]",10
小姐姐很贴心 因为火车到的早 两点之前就到啦 但上一间房客还没有退房 本以为要拖着行李到处走了 没想到小姐姐了解情况之后帮我提前办理其他房间的入住 真的超级感动 入住期间热水壶坏掉了 然后小姐姐立马让人快递了一个新的 服务态度嘎嘎棒！！很愉快的一次体验,贴心 火车 退房 行李 情况 提前 办理 房间 入住 感动 入住 水壶 坏掉 快递 服务态度 愉快 体验,"[(2, 0.9487137)]",2
房间布局合理温馨，有回家的感觉 卫生：清洁卫生，如果有一次性马桶垫就更好了 设施：房间虽小，设施齐全 环境：生活方便，楼下有便利店烧烤 服务：周到，及时，有问题及时解决,房间 布局合理 回家 感觉 卫生 清洁卫生 马桶 设施 房间 设施 环境 便利店 烧烤 周到 解决,"[(0, 0.94230443)]",0
民宿位置出行方便，房间设施齐全，卫生干净，服务很好，真心推荐给大家，住着非常舒服！,民宿 位置 出行 房间 设施 卫生 干净 推荐 舒服,"[(1, 0.90768933)]",1
房间在市中心的位置，去五一广场 橘子洲头都很近很方便，全自助入住，环境不错，楼层高，可以看到长沙夜晚的样子,房间 市中心 位置 自助 入住 环境 不错 楼层 样子,"[(8, 0.907687)]",8
酒店在五一广场附近，去周边都好方便～房间超级漂亮，有我最爱的榻榻米和飘窗～房间干净舒服 下次来还住这个！,酒店 房间 漂亮 最爱 榻榻米 房间 干净 舒服,"[(11, 0.89743185)]",11
房间很漂亮而且很大 离二号线很近 客服姐姐超级好 有问题都会及时回并帮忙解决 住得很开心 下次来长沙还会选这里的^^,房间 很漂亮 很大 二号线 客服 姐姐 回并 帮忙 解决 开心,"[(4, 0.91607887)]",4
很干净，环境也非常好，招待的电话也很及时哦。很靠近中山亭，不错,干净 环境 招待 电话 靠近 不错,"[(0, 0.010989743), (1, 0.010989738), (2, 0.010989671), (3, 0.0109895915), (4, 0.010989773), (5, 0.010989646), (6, 0.010989838), (7, 0.010989666), (8, 0.010989753), (9, 0.010989735), (10, 0.010989681), (11, 0.86812353), (12, 0.010989617)]",11
位置好，环境不错，复式结构很舒服 缺点：自助服务，厕所未干湿分离,位置 环境 不错 复式 结构 舒服 缺点 自助 厕所 干湿 分离,"[(10, 0.9230712)]",10
提前跟房东预约开房，凭密码进入，房间非常干净，两张双人床还有大飘窗和投影，非常舒服干净！,提前 房东 预约 开房 密码 房间 干净 投影 舒服 干净,"[(6, 0.91608036)]",6
觉得还好了。,还好,"[(0, 0.038464773), (1, 0.038465224), (2, 0.038464773), (3, 0.038465433), (4, 0.038464773), (5, 0.038464773), (6, 0.53842026), (7, 0.038464773), (8, 0.038464773), (9, 0.038464773), (10, 0.038465515), (11, 0.038464773), (12, 0.03846536)]",6
房间非常干净，环境很好，设施齐全，服务周到，飘窗可以看到远处繁荣的夜景,房间 干净 环境 设施 繁荣 夜景,"[(0, 0.01098967), (1, 0.010989781), (2, 0.010989563), (3, 0.01098954), (4, 0.010989544), (5, 0.010989551), (6, 0.010989546), (7, 0.010989622), (8, 0.86812496), (9, 0.010989607), (10, 0.010989551), (11, 0.010989556), (12, 0.010989511)]",8
卫生很干净，房东服务也很好， 环境也很舒服，下次来长沙首选还是这家,卫生 干净 房东 环境 舒服 首选,"[(0, 0.010989467), (1, 0.54507595), (2, 0.010989416), (3, 0.0109893875), (4, 0.0109894425), (5, 0.01098948), (6, 0.33404002), (7, 0.010989508), (8, 0.010989513), (9, 0.010989403), (10, 0.010989423), (11, 0.010989557), (12, 0.010989403)]",1
开车过去半夜啦，幸好没踩雷 环境很满意，提供几张实拍图 供大家参考,开车 幸好 环境 满意 提供 实拍 参考,"[(1, 0.88460135)]",1
真的很舒服，干干净净，啥都齐全（使用者原因有点乱）,舒服 使用者 原因,"[(0, 0.7692138), (1, 0.019232187), (2, 0.019232191), (3, 0.019232312), (4, 0.019232076), (5, 0.019232139), (6, 0.0192322), (7, 0.019232165), (8, 0.019232232), (9, 0.019232132), (10, 0.019232245), (11, 0.01923221), (12, 0.019232105)]",0
房间很喜欢,房间 喜欢,"[(0, 0.025641698), (1, 0.02564157), (2, 0.02564172), (3, 0.025641773), (4, 0.025641354), (5, 0.025641505), (6, 0.02564152), (7, 0.025641682), (8, 0.02564169), (9, 0.6923008), (10, 0.025641453), (11, 0.025641644), (12, 0.025641533)]",9
公寓的地理位置尚可，周边都是长沙的旅游景点，设施配套比较齐全。由于我没有提前预订，所以第一天晚上预订的还挺满意的，但是第二晚客服小姐姐给我换了一间麻将室，比上一间差多了，卫生间极小，沙发和飘窗也比较脏，吹风机还是坏的，但是客服小姐姐连夜订了外卖送了个新的，好评！,公寓 地理位置 旅游景点 设施 配套 提前 预订 预订 满意 客服 麻将 卫生间 吹风机 客服 外卖 好评,"[(3, 0.94569784)]",3
环境不错，很方便,环境 不错,"[(0, 0.025641698), (1, 0.025641846), (2, 0.025641212), (3, 0.025641268), (4, 0.025642019), (5, 0.025641358), (6, 0.69230205), (7, 0.025641395), (8, 0.025641726), (9, 0.025641304), (10, 0.025641525), (11, 0.025641358), (12, 0.025641264)]",6
离地铁近，楼下有家俏孙二娘烧烤，味道不错，就是有点辣,地铁 烧烤 味道 不错,"[(0, 0.015386118), (1, 0.015386505), (2, 0.015385772), (3, 0.015385544), (4, 0.015385766), (5, 0.015385766), (6, 0.015385736), (7, 0.015385727), (8, 0.81537056), (9, 0.015385684), (10, 0.015385591), (11, 0.01538568), (12, 0.015385542)]",8
没有前台，需要添加店家微信拿开门密码。距离五一广场走路约10–15分钟，楼下还有个酒吧。配有洗衣机这点方便。和别的住客感觉一样，淋浴处没有门或者帘子，洗完澡厕所里都是水，而且淋浴的地面不是防滑瓷砖，如果是小孩和老人家要特别注意。,前台 添加 店家 微信 开门 密码 距离 走路 酒吧 配有 洗衣机 住客 感觉 淋浴 帘子 洗完 厕所 淋浴 地面 防滑 瓷砖 小孩 老人家,"[(7, 0.96153176)]",7
民宿的位置超棒的，地铁二号线5号口出来走几百米就能看到一个特别高的楼写着“阳光檀悦”，进去之后里面很气派很多电梯根本不用挤电梯!周围的交通无论是公交还是打车都很便利，而且下楼往外走还停着很多共享电动车!出行尊的很方便就是说因!然后楼下就是便利店，出门还有早餐店啊 水果店，进去之后感觉特别温馨，很干净很好看 随便拍拍都巨好看!里面有洗衣机冰箱投影仪各种应有尽有，就是说真的很棒!!楼上的床超级舒服，楼下的沙发和窗台那 都超级软，晚上在二楼一楼看窗外的夜景也是别有一番风味!早上窗帘一拉太阳直接晒进来真的很有感觉!然后住的地方离五一广场也超近的可以选择坐地铁过去但是完全没必要走走路就可以到五一广场坡子街长沙美食城太平街…(这些打卡的地方都在一块)在这里要特别感谢房东，他真的超级超级好!很细节，也很有耐心的回答你问的问题，会为你解决你的问题，作为游客对地理情况完全不了解的情况下，他会提前发给你各种交通工具来住宿地方的路线，还有图片指引!会在你问去五一广场怎么逛之后给你画路线告诉你怎么样可以一次性全部逛完这些地方。下次来还要住这里~,民宿 位置 超棒 地铁 二号线 号口 气派 电梯 不用 电梯 交通 公交 打车 便利 下楼 共享 电动车 出行 便利店 出门 早餐 水果店 感觉 干净 好看 拍拍 好看 洗衣机 冰箱 投影仪 很棒 舒服 窗台 二楼 一楼 夜景 风味 窗帘 感觉 地方 超近 选择 走路 坡子 打卡 地方 房东 细节 耐心 回答 解决 游客 地理 情况 情况 提前 住宿 地方 路线 图片 指引 路线 告诉 地方,"[(8, 0.98579746)]",8
很满意，三个人住刚好,满意,"[(0, 0.038461782), (1, 0.038461972), (2, 0.038462136), (3, 0.03846244), (4, 0.03846264), (5, 0.038461734), (6, 0.5384555), (7, 0.03846213), (8, 0.038461868), (9, 0.038461827), (10, 0.038461987), (11, 0.03846212), (12, 0.038461898)]",6
这次的长沙之行很满意，住的很满意，房间设施很新，卫生干净整洁，房间是跃层式，所以空间比较大，不拥挤。服务员态度很好，我们原先住的房间无线网有问题，服务员很快帮我换了一间房，离开长沙的当天我们买的下午车票，中午退房，服务员又帮我们解决了行李存放问题。让我们晃着两膀子去太平老街吃吃喝喝，到了离开时间再去提着行李走人。,满意 满意 房间 设施 卫生 干净 整洁 房间 跃层 空间 拥挤 服务员 态度 房间 无线网 服务员 离开 车票 退房 服务员 解决 行李 存放 膀子 老街 离开 时间 提着 行李,"[(3, 0.9692283)]",3
很不错的房间,不错 房间,"[(0, 0.025641637), (1, 0.025641477), (2, 0.025641637), (3, 0.025641605), (4, 0.025641397), (5, 0.025641441), (6, 0.692301), (7, 0.025641786), (8, 0.025641838), (9, 0.02564163), (10, 0.025641486), (11, 0.025641514), (12, 0.025641613)]",6
非常蛮意的一次住宿，卫生非常干净，设施也非常的齐全，一进门就有家的感觉，老板也非常好，火车到得比较早，房间空出来了还让我们提前入住了，下楼出行也非常的方便，到五一广场等各个打卡地都非常近,蛮意 住宿 卫生 干净 设施 进门 感觉 老板 火车 房间 提前 入住 下楼 出行 打卡 地都,"[(9, 0.9456972)]",9
梦中情舍谁懂！！出去玩了一天累的要命，晚上回到心满意足的住处感觉整个心情都再次愉快起来 复式的设计真的好棒！！我和好朋友们都一致喜欢！！晚上如果不是特别累，在一楼看投屏的电影，桌子上摆上烧烤，姐妹们一起坐在沙发上 太满足了！！下次还住！！,情舍 出去玩 要命 回到 住处 感觉 心情 愉快 复式 朋友 喜欢 一楼 投屏 电影 桌子 摆上 烧烤 姐妹 坐在,"[(11, 0.95384234)]",11
总体不好，不推荐入住，原因如下设施：加热式电热水器，需要等半小时以上第二个人才敢洗澡，怕热水不够卫生：清洁不到位，很多细节卫生很差，而且打开柜子里面的东西扔的乱七八糟，都是些用品补充品。最难接受的是入住期间不提供卫生清洁，比如我连续住2天，他们不提供打扫卫生服务：一般，没有剃须刀，问了也没有,总体 推荐 入住 原因 设施 加热式 电热水器 人才 洗澡 热水 卫生 清洁 到位 细节 卫生 打开 柜子 用品 补充品 接受 入住 提供 卫生 清洁 连续 提供 剃须刀,"[(2, 0.9670303)]",2
住宿体验很好，到周边各个地方都挺方便，步行十来分钟都能到。楼下右手边也有共享电车停车点，扫码想去哪去哪，下次来长沙还选这家民宿,住宿 体验 地方 步行 右手边 共享 电车 停车 扫码 想去 民宿,"[(7, 0.9230659)]",7
地理位置:方便，地铁站附近 设施：齐全 卫生：良好 环境：装修较新 服务：挺贴心的 一家人第一次感觉住的舒适,地理位置 地铁站 设施 卫生 环境 装修 贴心 一家人 感觉 舒适,"[(7, 0.91607934)]",7
自助入职、退宿都很方便，房间跟描述一致，交通便利，离地铁站、步行路、国金广场都很近，楼下就有便利店、水果店、药店等,自助 入职 退宿 房间 描述 交通 便利 地铁站 步行 国金 广场 便利店 水果店 药店,"[(2, 0.9384563)]",2
干净卫生而且小姐姐真的很好！帮了很多忙，下次来长沙还是会住这边！住的地方去哪都很方便  去五一广场去文和友都很不错,干净 卫生 地方 文和友 不错,"[(0, 0.012821058), (1, 0.012821059), (2, 0.012821063), (3, 0.0128211), (4, 0.0128209395), (5, 0.012821298), (6, 0.8461464), (7, 0.012821219), (8, 0.012821383), (9, 0.012821112), (10, 0.012821261), (11, 0.012821084), (12, 0.012821056)]",6
非常方便，去哪都近，离地铁口，五一广场，省博步行可达！闹中取静！房间很干净，老板很热情！临走忘记了身份证，也能及时解决了！,地铁口 步行 房间 干净 老板 热情 临走 忘记 身份证 解决,"[(7, 0.91607505)]",7
