Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重
解决,0.004,干湿,0.003,打扫,0.004,灰尘,0.003,落地窗,0.004,下雨天,0.004,闺蜜,0.003,早餐,0.004,好看,0.004,广场,0.004,找到,0.004,肯定,0.004,客服,0.004
店家,0.004,床品,0.003,价格,0.004,天气,0.003,很漂亮,0.004,地铁,0.004,对面,0.003,适合,0.004,到位,0.004,兄弟,0.004,夜市,0.004,设施,0.004,地铁站,0.004
灰尘,0.004,惬意,0.003,环境,0.004,效果,0.003,院子,0.004,投影仪,0.004,重点,0.003,泳池,0.004,咖啡,0.004,行李,0.004,缺点,0.004,庭院,0.004,沟通,0.004
惬意,0.004,好闻,0.003,客人,0.004,情况,0.003,好评,0.004,点心,0.004,隔音,0.003,床品,0.004,体验,0.004,很大,0.004,对面,0.004,潮湿,0.004,不到,0.003
宽敞,0.004,盟重,0.003,管家,0.004,很火,0.003,管家,0.004,对面,0.004,携带,0.003,打扫,0.004,正好,0.004,地方,0.004,好找,0.004,无敌,0.004,姐妹,0.003
完善,0.004,回复,0.003,协商,0.004,肯定,0.003,责任,0.004,姐妹,0.004,不用,0.003,地方,0.004,小吃街,0.004,酒店,0.004,简陋,0.004,选择,0.004,耳塞,0.003
坡子,0.004,友好,0.003,友好,0.003,确实,0.003,粉面,0.004,距离,0.004,电梯,0.003,介绍,0.004,坡子,0.004,前台,0.004,服务到位,0.004,体验,0.004,江景,0.003
服务态度,0.004,泳池,0.003,携程,0.003,拉满,0.003,可观,0.004,拍照,0.004,面包,0.003,前台,0.004,喜欢,0.004,交通,0.004,格调,0.004,感觉,0.004,吧台,0.003
退房,0.004,味道,0.003,打开,0.003,离开,0.003,客服,0.004,居住,0.004,时尚,0.003,环境优美,0.004,满意,0.004,攻略,0.004,风格,0.004,待遇,0.004,办事,0.003
阳台,0.004,很大,0.003,特色,0.003,小院,0.003,吧台,0.004,公交车站,0.004,选择,0.003,舒适,0.004,适合,0.004,值得,0.004,视野,0.004,小店,0.004,照片,0.003
吃饭,0.004,解决,0.003,距离,0.003,态度,0.003,失望,0.004,体验,0.004,电视,0.003,便利,0.004,店家,0.004,地铁站,0.004,价格,0.004,好找,0.004,明亮,0.003
适合,0.004,小吃,0.003,照片,0.003,提醒,0.003,整体,0.004,值得,0.004,服务员,0.003,巷子,0.003,国金,0.003,景点,0.004,天气,0.004,卫生,0.004,提前,0.003
房东,0.004,智能,0.003,出行,0.003,家具,0.003,垃圾,0.004,兄弟,0.004,游玩,0.003,空间,0.003,确实,0.003,配置,0.003,孩子,0.004,出行,0.004,卫生间,0.003
住宿,0.003,店家,0.003,交通,0.003,店家,0.003,感受,0.004,放松,0.004,愉快,0.003,市中心,0.003,视野,0.003,感动,0.003,建议,0.004,公寓,0.004,老街,0.003
耳塞,0.003,客人,0.003,性价比,0.003,商圈,0.003,泳池,0.004,下午茶,0.004,地铁,0.003,好看,0.003,大厅,0.003,住宿,0.003,烤面包,0.004,小伙伴,0.004,空间,0.003
细节,0.003,分离,0.003,总体,0.003,便宜,0.003,收藏,0.004,舒适,0.004,美食,0.003,房东,0.003,细节,0.003,走路,0.003,酒吧,0.004,服务态度,0.003,特调,0.003
蒸汽,0.003,值得,0.003,贴心,0.003,卫生间,0.003,惊喜,0.004,出片,0.004,巨幅,0.003,店家,0.003,衣服,0.003,夫妻,0.003,冰箱,0.004,老板,0.003,声音,0.003
推荐,0.003,冰箱,0.003,异味,0.003,用心,0.003,布置,0.004,送来,0.004,后巷,0.003,出行,0.003,提前,0.003,回来,0.003,很漂亮,0.004,有趣,0.002,很漂亮,0.003
眼罩,0.003,朋友,0.003,拍照,0.003,规矩,0.003,墙裂,0.004,提供,0.004,庭院,0.003,很漂亮,0.003,市中心,0.003,找到,0.003,整体,0.004,情舍,0.002,夜市,0.003
体验,0.003,体验,0.003,便利店,0.003,格调,0.003,咖啡,0.004,下楼,0.004,热心,0.003,小哥,0.003,工作人员,0.003,小米,0.003,服务态度,0.004,经济型,0.002,小哥,0.003
情屋,0.002,拍照,0.003,烧烤,0.003,预定,0.003,开阔,0.004,眼罩,0.004,摆设,0.003,管家,0.003,打卡,0.003,感觉,0.003,喜欢,0.004,咖啡,0.002,市中心,0.003
垃圾,0.002,老板,0.003,收拾,0.003,住宿,0.003,取近,0.004,到位,0.004,小孩子,0.003,网红,0.003,对面,0.003,帮忙,0.003,吸引,0.004,山景,0.002,可惜,0.003
朋友圈,0.002,时间,0.002,值得,0.003,咖啡店,0.003,出入,0.004,友好,0.004,好吃,0.003,不太好,0.002,早餐,0.003,完美,0.003,气息,0.004,要命,0.002,投影仪,0.003
提醒,0.002,地道,0.002,被子,0.003,前台,0.003,再见,0.004,喜欢,0.004,下雨,0.003,拖鞋,0.002,冰箱,0.003,市中心,0.003,冬瓜,0.004,文艺,0.002,吹风机,0.003
放在,0.002,冬瓜,0.002,地铁口,0.003,配套,0.003,大气,0.004,好看,0.004,设施,0.003,缺点,0.002,很大,0.003,中心,0.003,咖啡,0.004,小吃街,0.002,图片,0.003
投影仪,0.002,闹市,0.002,下午茶,0.003,价格,0.003,冰粉,0.004,耳塞,0.004,亲切感,0.003,浴室,0.002,泳池,0.003,餐馆,0.003,总体,0.004,黏糊糊,0.002,厕所,0.003
家具用品,0.002,全屋,0.002,前台,0.003,巷子,0.003,住店,0.004,出差,0.004,密码锁,0.003,氛围,0.002,味道,0.003,大床,0.003,法式,0.004,吃饭,0.002,坡子,0.003
周到,0.002,热闹,0.002,电话,0.003,耐心,0.003,灯光,0.004,挺好,0.004,房卡,0.003,隔音,0.002,完美,0.003,国金,0.003,打卡,0.004,图片,0.002,房东,0.003
好像,0.002,坐在,0.002,弄堂,0.003,江景,0.003,品质,0.004,失望,0.002,提供,0.003,商圈,0.002,会儿,0.003,打车,0.003,温暖,0.002,麻烦,0.002,精致,0.003
书桌,0.002,蒸饺,0.002,帮忙,0.003,酒店,0.003,餐食,0.004,漏掉,0.002,吝啬,0.003,厨房,0.002,休息,0.003,无敌,0.003,总台,0.002,冰箱,0.002,惊艳,0.003
创意,0.002,距离,0.002,洗衣机,0.003,出行,0.003,办理手续,0.004,接送,0.002,浴室,0.003,投影仪,0.002,退房,0.003,拍照,0.003,睡到,0.002,复式,0.002,步行,0.003
椅子,0.002,窗户,0.002,阳台,0.003,冰箱,0.003,点心,0.004,通风,0.002,喷得,0.003,退房,0.002,楼梯,0.003,地铁,0.003,不想,0.002,音响效果,0.002,咖啡厅,0.003
微风,0.002,可惜,0.002,接受,0.003,打卡,0.003,自助,0.004,干静,0.002,回头客,0.003,味道,0.002,客栈,0.003,超大,0.003,超值,0.002,打算,0.002,感觉,0.003
库房,0.002,情侣,0.002,情况,0.003,冬瓜,0.003,烧烤,0.004,电影,0.002,提前,0.003,走路,0.002,床垫,0.003,好看,0.003,相遇,0.002,没事,0.002,听到,0.003
车程,0.002,酒吧,0.002,好评,0.003,服务态度,0.002,公寓,0.004,配备,0.002,生活用品,0.003,停车,0.002,电梯,0.003,浴缸,0.003,分离,0.002,来定,0.002,拍照,0.003
询问,0.002,布料,0.002,宗街,0.002,地铁站,0.002,说法,0.004,丫头,0.002,公寓,0.003,解决,0.002,打扫,0.003,宽敞,0.003,放在,0.002,回到,0.002,潮宗,0.003
搭理,0.002,天花板,0.002,沟通,0.002,出门,0.002,适合,0.004,床上,0.002,洗衣服,0.003,很棒,0.002,建议,0.003,潮牌,0.003,水晶灯,0.002,直发,0.002,效果,0.003
商业街,0.002,地铁,0.002,发现,0.002,位置,0.002,超值,0.004,红枣,0.002,安排,0.003,距离,0.002,环境卫生,0.003,满意,0.003,穿越,0.002,传统,0.002,酒店,0.003
中心,0.002,网红,0.002,经历,0.002,交通,0.002,一条街,0.004,宠物,0.002,拍照,0.003,周到,0.002,情况,0.003,细节,0.003,像直,0.002,房型,0.002,睡眠,0.003
亲肤,0.002,嚣张,0.002,整洁,0.002,给送,0.002,确实,0.004,小酒馆,0.002,公交车,0.003,总体,0.002,自助,0.003,咖啡,0.003,结伴,0.002,注定,0.002,装修,0.003
闯进,0.002,品质,0.002,咖啡厅,0.002,走进,0.002,店家,0.004,工作人员,0.002,需求,0.003,宽敞,0.002,告诉,0.003,隔音,0.003,网红,0.002,电影,0.002,洗衣机,0.003
床头,0.002,不用,0.002,费用,0.002,收到,0.002,给出,0.004,糖水,0.002,担心,0.003,步行,0.002,房东,0.003,情侣,0.003,小朋友,0.002,行李,0.002,愉快,0.003
管家,0.002,咖啡,0.002,尊重,0.002,外溢,0.002,主打,0.004,房型,0.002,超高,0.003,惊喜,0.002,风格,0.003,不用,0.003,重点,0.002,老街区,0.002,时间,0.003
床单,0.002,餐厅,0.002,蜗牛,0.002,宿舍,0.002,视野,0.004,衣帽间,0.002,房主,0.003,机会,0.002,围炉,0.003,打卡,0.003,老街,0.002,招待,0.002,地方,0.003
宗街,0.002,宠物,0.002,院子,0.002,太火,0.002,大树,0.004,饭店,0.002,登记,0.003,体验,0.002,住宿,0.003,便利,0.003,区域,0.002,适中,0.002,选择,0.003
打听,0.002,粉面,0.002,感受,0.002,纠结,0.002,风格,0.004,商业街,0.002,玻璃门,0.003,地铁站,0.002,夜景,0.003,管家,0.003,船只,0.002,蚊香,0.002,提供,0.003
清洁卫生,0.002,浴缸,0.002,给予,0.002,选房,0.002,性价比,0.004,解决问题,0.002,小酒馆,0.003,正街,0.002,热闹,0.003,好喝,0.003,大人,0.002,老爸,0.002,适合,0.003
选错,0.002,咖啡馆,0.002,点点,0.002,无比,0.002,觉对,0.004,毛孩子,0.002,泳池,0.003,泡澡,0.002,机会,0.003,艺术,0.002,牛肉,0.002,衣架,0.002,一流,0.003
印象,0.002,夜市,0.002,公交,0.002,窗户,0.002,市中心,0.004,不用,0.002,拿到,0.003,看得出,0.002,便利,0.003,原木,0.002,零乱,0.002,温柔,0.002,只能,0.003
地铁,0.002,粉店,0.002,正好,0.002,喧嚣,0.002,很大,0.004,不太好,0.002,投屏,0.003,麻烦,0.002,民俗,0.003,满满,0.002,很棒,0.002,孩子,0.002,空调,0.003
腔调,0.002,首选,0.002,火车,0.002,高标准,0.002,景点,0.004,时间,0.002,出炉,0.003,耳塞,0.002,走动,0.003,布置,0.002,门禁,0.002,直出,0.002,棒棒,0.003
品味,0.002,价格,0.002,独立,0.002,时间,0.002,便利,0.004,全身,0.002,日式,0.003,出门,0.002,煮茶,0.003,很爽,0.002,干湿,0.002,亲切,0.002,感受,0.003
回复,0.002,住宿,0.002,房卡,0.002,挑毛病,0.002,设施,0.004,解答,0.002,攻略,0.003,温暖,0.002,下午茶,0.003,快乐,0.002,完美,0.002,挺静,0.002,退房,0.003
小风,0.002,小朋友,0.002,剃须刀,0.002,隔离,0.002,宽敞,0.004,信息,0.002,店家,0.003,耐心,0.002,吃饭,0.003,店家,0.002,稳定,0.002,住处,0.002,携程,0.003
用心,0.002,耐心,0.002,直通,0.002,护发素,0.002,肯定,0.004,小吃,0.002,逛街,0.003,标注,0.002,老板,0.003,节奏,0.002,优惠期,0.002,习惯,0.002,友好,0.003
退回,0.002,特色,0.002,简单,0.002,喧哗,0.002,送来,0.004,满满,0.002,咖啡厅,0.003,足够,0.002,地理位置,0.003,图书室,0.002,点心,0.002,摆上,0.002,交通,0.002
睡觉,0.002,遗憾,0.002,酒吧,0.002,惊喜,0.002,酒店,0.004,拍摄,0.002,治愈,0.003,配套,0.002,夜市,0.003,产品,0.002,电影,0.002,通风,0.002,便利,0.002
一大,0.002,角落,0.002,麻烦,0.002,糊弄,0.002,帮忙,0.004,好评,0.002,文和友,0.003,床边,0.002,好评,0.003,定位,0.002,想象,0.002,电梯,0.002,协商,0.002
楼房,0.002,不到,0.002,划伤,0.002,消防局,0.002,休息,0.004,洗手间,0.002,开房,0.003,露台,0.002,霸王,0.001,符合,0.002,超市,0.002,小吃,0.002,经历,0.002
看得出,0.002,提供,0.002,回到,0.002,号线,0.002,格调,0.004,氛围,0.002,起床,0.003,饭店,0.002,人会,0.001,不行,0.002,关机,0.002,小时,0.002,样子,0.002
小店,0.002,美景,0.002,有没有,0.002,酒水,0.002,感觉,0.004,烟花,0.002,步行,0.003,卫生条件,0.002,日式,0.001,开过,0.002,怪味,0.002,买点,0.002,清洁,0.002
代名词,0.002,出行,0.002,粉店,0.002,坐在,0.002,柔和,0.004,电动车,0.002,小哥,0.003,污渍,0.002,事业,0.001,分享,0.002,浴缸,0.002,攻略,0.002,宗街,0.002
亮点,0.002,贴心,0.002,投影仪,0.002,界面,0.002,打扫,0.004,帆布袋,0.002,布置,0.003,宗街,0.002,游客,0.001,露台,0.002,书屋,0.002,清新,0.002,回来,0.002
