评论,fenci,情感分类,主题概率,主题类型
这款本本是2140的体形，披的是1000系列的黑色的外衣。就配置和国内行货的价格而言，这款本本达到我的理想价位。有3个接口，一个视频转接，一个多功能读卡槽，一个有线网络插孔，麦克风和耳机共用一个插孔。,本本 体形 系列 黑色 外衣 配置 国内 行货 价格 本本 理想 价位 接口 视频 转接 多功能 读卡 有线 网络 插孔 麦克风 耳机 共用 插孔,pos,"[(2, 0.96632916)]",2
外观漂亮，性能还不错，首次下单时4555，晚上再看时候返还100，马上重新下单，不错,外观 漂亮 性能 不错 首次 下单 晚上 返还 下单 不错,pos,"[(0, 0.015260069), (1, 0.015227673), (2, 0.015404294), (3, 0.015232314), (4, 0.92362666), (5, 0.015249016)]",4
笔记本不错，京东不够厚道，钻石抢的和现在促销价没差几分，这不是忽悠我们钻石一族吗？？？,笔记本 不错 京东 厚道 钻石 促销价 没差 几分 忽悠 钻石 一族,pos,"[(0, 0.013970322), (1, 0.0139826955), (2, 0.013990919), (3, 0.013960389), (4, 0.93013984), (5, 0.013955861)]",4
原装正货，提货时，封贴什么都还没开的。因为第一次在京东购物，上门提货，看到货后，总算不担心品质问题。绝对是正品行货。,原装 正货 提货 封贴 都还没 第一次 京东 购物 上门 提货 货后 总算 担心 品质 正品 行货,pos,"[(4, 0.95059687)]",4
完美屏，第一次买，手神还不错嘛,完美 第一次 手神 不错,pos,"[(0, 0.033466592), (1, 0.03349508), (2, 0.83261484), (3, 0.033420593), (4, 0.03347878), (5, 0.033524122)]",2
性价比不用说了，4455买的，配置也比较正常些，工作娱乐看电影玩些弱3游戏都。键盘是个亮点，击键幅度小，没什么声音，打字手感不错。不过那键盘容易进灰，所以建议宏友们都去买个键盘膜，现在已经有4736专用的。,性价比 不用说 配置 工作 娱乐 电影 游戏 键盘 亮点 击键 幅度 没什么 声音 打字 手感 不错 键盘 进灰 建议 宏友 键盘 专用,pos,"[(3, 0.9635596)]",3
外观很漂亮，键盘很漂亮，3的条子，蓝牙，全都有，完美屏。。,外观 很漂亮 键盘 很漂亮 条子 蓝牙 完美,pos,"[(0, 0.020903239), (1, 0.020956833), (2, 0.74008894), (3, 0.020989567), (4, 0.020922363), (5, 0.17613909)]",2
相比同样配置的本本，这款价格实在；配置较合理。功能也都实用。入手以后直接换ＸＰ系统。,相比 配置 本本 价格 实在 配置 功能 实用 入手 系统,pos,"[(0, 0.015225816), (1, 0.6243782), (2, 0.31454605), (3, 0.015257365), (4, 0.015306418), (5, 0.015286161)]",1
配置搭配比较合理 没有明显的鸡肋 散热和做工都不错 键盘设计是亮点 赠品也都比较实用 这个价位的好性价比本本确实不多,配置 搭配 鸡肋 散热 做工 不错 键盘 设计 亮点 赠品 实用 价位 性价比 本本 确实,pos,"[(0, 0.010506413), (1, 0.010539295), (2, 0.9474552), (3, 0.010517627), (4, 0.0104543455), (5, 0.010527111)]",2
优点是众所周知的，身边很多朋友都在用，不然也不会买。但我没心思说，原因在下面。,优点 众所周知 身边 朋友 心思 原因,pos,"[(0, 0.023972752), (1, 0.023917811), (2, 0.8799478), (3, 0.024133906), (4, 0.024087984), (5, 0.023939801)]",2
性价比不错，各方面比较均衡。这个价位买到这样的配置还是比较满意的，玩玩一般的游戏绰绰有余，哈哈哈,性价比 不错 均衡 价位 配置 比较满意 玩玩 游戏 绰绰有余 哈哈哈,pos,"[(0, 0.015556825), (1, 0.015324434), (2, 0.8241965), (3, 0.015347137), (4, 0.114298075), (5, 0.015277004)]",2
这价钱买到这种配置的笔记本，没什么可挑的了，送的东西又多，机器也好，配置合理。此外，摄像头很清晰～,价钱 配置 笔记本 没什么 可挑的 东西 机器 配置 摄像头 清晰,pos,"[(0, 0.015444982), (1, 0.0153128505), (2, 0.015387771), (3, 0.9232595), (4, 0.015298315), (5, 0.015296582)]",3
这价钱买到这种配置的笔记本，没什么可挑的了，送的东西又多，机器也好，配置合理。此外，摄像头很清晰。,价钱 配置 笔记本 没什么 可挑的 东西 机器 配置 摄像头 清晰,pos,"[(0, 0.015424325), (1, 0.015312879), (2, 0.015416317), (3, 0.9232515), (4, 0.0152983405), (5, 0.015296609)]",3
4899入手，送了一堆东西，真实惠  用了还没几天  不太清楚，初步感觉很不错,入手 一堆 东西 实惠 几天 初步 感觉 不错,pos,"[(0, 0.018623827), (1, 0.018686658), (2, 0.6407974), (3, 0.15415968), (4, 0.14913282), (5, 0.018599577)]",2
音效好，散热可以接受，笔记本这个程度可以了。电池目前不错，初次使用的时候刻碟，开无线网络下载等，可以连续3小时以上。,音效 散热 接受 笔记本 程度 电池 不错 初次 刻碟 无线网络 下载 连续 小时,pos,"[(0, 0.012000505), (1, 0.01205869), (2, 0.93996865), (3, 0.012007385), (4, 0.0119498195), (5, 0.01201499)]",2
配置算可以的，虽然显卡是瓶颈（下评分是4），不过性价比来说，值得了,配置 显卡 瓶颈 评分 性价比 值得,pos,"[(0, 0.1989272), (1, 0.023952115), (2, 0.024047676), (3, 0.70526934), (4, 0.023870913), (5, 0.023932733)]",3
到手的是完美屏，不过可视(清晰)角度比较小，不知是不是笔记本屏幕的通病,到手 完美 可视 清晰 角度 不知 笔记本 屏幕 通病,pos,"[(0, 0.5019559), (1, 0.016789408), (2, 0.016887289), (3, 0.43074822), (4, 0.01675416), (5, 0.016865017)]",0
"的屏幕还是不错的,就是太亮了,有点反光.多功能的触摸板也是一大亮点",屏幕 不错 反光 多功能 触摸板 一大 亮点,pos,"[(0, 0.39708227), (1, 0.021049611), (2, 0.021191388), (3, 0.5187619), (4, 0.020945698), (5, 0.02096912)]",3
产品不错，性价比高，就是显卡有些瓶颈。,产品 不错 性价比 显卡 瓶颈,pos,"[(0, 0.028131455), (1, 0.027931254), (2, 0.85973483), (3, 0.028358396), (4, 0.027933313), (5, 0.02791074)]",2
优点就是屏，做工还可以，功能键挺多，居然配有蓝牙，惊喜！用过不少笔记本，这款运行时的声音还是比较小的,优点 做工 功能键 配有 蓝牙 惊喜 笔记本 运行 声音,pos,"[(0, 0.016783608), (1, 0.016733183), (2, 0.9160433), (3, 0.016801737), (4, 0.016738188), (5, 0.016900064)]",2
喜欢新颖的键盘。整机运行很平稳，噪音也很小。使用几个小时没有明显的发热感。,喜欢 新颖 键盘 整机 运行 平稳 噪音 很小 几个 小时 发热,pos,"[(0, 0.013947422), (1, 0.01394214), (2, 0.014128597), (3, 0.014000806), (4, 0.014075706), (5, 0.92990535)]",5
外观设置的漂亮，音质不错，看电影挺爽的，键盘不错，系统正在努力探索中,外观 设置 漂亮 音质 不错 电影 挺爽 键盘 不错 系统 努力 探索,pos,"[(0, 0.01286617), (1, 0.0128721725), (2, 0.9354884), (3, 0.0129575385), (4, 0.012903244), (5, 0.012912488)]",2
"性能很好!配置不错!自带系统,开机可以用.比传说中的好用.送货很快!当天14点下单,次日早11点到货!",性能 配置 不错 自带 系统 开机 好用 送货 很快 当天 下单 次日 到货,pos,"[(0, 0.01211153), (1, 0.01201957), (2, 0.28610644), (3, 0.01202094), (4, 0.6657019), (5, 0.012039647)]",4
东西很喜欢，手感不错，送货很快，下单到手上才20个小时不到~~,东西 喜欢 手感 不错 送货 很快 下单 手上 小时 不到,pos,"[(0, 0.01526968), (1, 0.015217601), (2, 0.9235956), (3, 0.015237166), (4, 0.015447711), (5, 0.015232243)]",2
总体性价比还算不错 不足： 接口太少，靠得近，而且还在左边！麻烦麻烦。。。 总结： 总体性价比还算不错，唉！我朋友说还想等到2999的时候再通知他买。。。,总体 性价比 不错 接口 左边 麻烦 麻烦 总体 性价比 不错 朋友 通知,pos,"[(0, 0.012876285), (1, 0.012949771), (2, 0.9351762), (3, 0.012907219), (4, 0.013084618), (5, 0.013005955)]",2
很好很强大，超高性价比！真没想到今天3300块钱就是买一台满足80%游戏的笔记本，你还等什么？赶快下手哦！,很好 强大 高性价比 真没想到 块钱 一台 游戏 笔记本 下手,pos,"[(0, 0.016786104), (1, 0.016881783), (2, 0.016861536), (3, 0.14127381), (4, 0.7914135), (5, 0.01678323)]",4
价格便宜，配置很足，什么双核啊、大内存啊、大硬盘啊、无线啊都有。打开一看，完美屏。,价格便宜 配置 很足 双核 内存 大硬盘 无线 打开 完美,pos,"[(0, 0.016809458), (1, 0.016793974), (2, 0.14672528), (3, 0.7860466), (4, 0.016763309), (5, 0.016861292)]",3
不错，帮朋友选的，朋友比较满意，就是接口少了，而且全是在左边，图片有误,不错 朋友 朋友 比较满意 接口 左边 图片 有误,pos,"[(0, 0.018571435), (1, 0.018648779), (2, 0.6882376), (3, 0.018638529), (4, 0.01861514), (5, 0.2372885)]",2
几天去取货的时候发现其实一点也不难看啊，屏幕虽然是的，但是及其设计也很稳重，这样的配置，这样的价钱，真的挺值的！,几天 去取 发现 一点 难看 屏幕 设计 稳重 配置 价钱 真的 挺值,pos,"[(0, 0.012889804), (1, 0.5399213), (2, 0.40825668), (3, 0.0129791275), (4, 0.012969854), (5, 0.012983307)]",1
优点还真找不到啊，唯一的就是价格，系统没法用，找售后不关，说一大堆话，就是要让自己搞定。,优点 不到 唯一 价格 系统 没法用 售后 一大堆 搞定,pos,"[(0, 0.017026195), (1, 0.016904533), (2, 0.016841283), (3, 0.016829552), (4, 0.9156185), (5, 0.016779905)]",4
还不错，装系统有点小麻烦，对装系统不熟悉的人可能会用较长的时间。,不错 系统 小麻烦 系统 熟悉 会用 时间,pos,"[(0, 0.020933691), (1, 0.020931885), (2, 0.89529514), (3, 0.02092478), (4, 0.020961447), (5, 0.020953022)]",2
性价比高，无亮点，包装的不错，还有速度挺快的，晚上下的单，第三天中午就到了。,性价比 无亮点 包装 不错 速度 挺快 晚上 第三天 中午,pos,"[(0, 0.016855542), (1, 0.016727317), (2, 0.91592956), (3, 0.016742457), (4, 0.016848985), (5, 0.01689616)]",2
性价比高。,性价比,pos,"[(0, 0.08349709), (1, 0.084358394), (2, 0.58052176), (3, 0.084148146), (4, 0.083599664), (5, 0.08387493)]",2
性价比高，机器做工大方，合金手托板，驱动程序好找，就是系统难装，,性价比 机器 做工 大方 合金 托板 驱动程序 好找 系统,pos,"[(0, 0.01674267), (1, 0.9161957), (2, 0.016837753), (3, 0.01673307), (4, 0.016749498), (5, 0.016741337)]",1
简洁，适用。需要的配置都有了。当时担心有坏点。收到后品质令人放心。,简洁 配置 担心 坏点 收到 品质 令人 放心,pos,"[(0, 0.17605828), (1, 0.018772317), (2, 0.01882986), (3, 0.7487961), (4, 0.018595966), (5, 0.01894749)]",3
1.显示屏没有坏点、没有亮点，在京东买的2台笔记本都是完美屏幕哦 ,显示屏 坏点 亮点 京东 笔记本 完美 屏幕,pos,"[(0, 0.021015912), (1, 0.021002116), (2, 0.89500326), (3, 0.021030018), (4, 0.020971516), (5, 0.02097716)]",2
"很好的商品,购买后非常满意,",很好 商品 购买 满意,pos,"[(0, 0.033938766), (1, 0.83219814), (2, 0.03350493), (3, 0.033399355), (4, 0.033406425), (5, 0.03355238)]",1
价格有一点贵，给朋友买的，朋友高兴就行，上网，也不做三维、，不要求速度，能上网就行，玩个、聊个天，玩玩小游戏，足够了。,价格 一点 朋友 朋友 上网 三维 速度 上网 聊个 玩玩 小游戏 足够,pos,"[(0, 0.012938509), (1, 0.013014325), (2, 0.012993105), (3, 0.012956945), (4, 0.93507797), (5, 0.01301918)]",4
小巧，漂亮，键盘大，便携性好，电池续航还行，虽然没达到宣传的8个小时，不过有6个小时也不错,小巧 漂亮 键盘 便携性 电池 续航 宣传 小时 小时 不错,pos,"[(0, 0.01520445), (1, 0.015198738), (2, 0.92377204), (3, 0.015357852), (4, 0.015220203), (5, 0.015246696)]",2
很漂亮，比图片上看好看很多，三星的就是做得比较精致。用起来也感觉很好。待机时间比较长。,很漂亮 图片 上看 好看 三星 精致 感觉 待机时间,pos,"[(0, 0.018618198), (1, 0.018601105), (2, 0.018893948), (3, 0.018578107), (4, 0.018579457), (5, 0.90672916)]",5
很干净 很美丽 键盘没有传说中那么小 很好用 女生的好选择啊 性价比很高的说,干净 美丽 键盘 很好 女生 选择 性价比 很高,pos,"[(0, 0.018726228), (1, 0.20773877), (2, 0.018741542), (3, 0.71761984), (4, 0.018574303), (5, 0.018599298)]",3
电池６小时续航，不是介绍的８小时．外观不错，2999买的，买后1天怎么就涨价了？这也算是赚钱了？,电池 小时 续航 介绍 小时 外观 不错 涨价 算是 赚钱,pos,"[(0, 0.01524065), (1, 0.015244192), (2, 0.9236103), (3, 0.015262238), (4, 0.015420856), (5, 0.015221737)]",2
图它小巧带着方便,小巧,pos,"[(0, 0.083804116), (1, 0.083964996), (2, 0.084600896), (3, 0.57942885), (4, 0.083734214), (5, 0.08446692)]",3
"电池时间长,外观很漂亮,珠光的,适合女孩子用,功能全,键盘大,运行的时候没什么声音,系统都装好了,开机填一点资料就可以上网了,不用装任何驱动,很方便.还有自带备份软件,以后要是系统崩溃,应该还蛮有用的.",电池 时间 外观 很漂亮 珠光 适合 女孩子 功能 键盘 运行 没什么 声音 系统 装好 开机 一点 资料 上网 不用 驱动 自带 备份 软件 系统 崩溃 有用,pos,"[(2, 0.968788)]",2
1.基本配置完善－1芯片，1内存，160硬盘，1024*600显示，无线网卡，130万象素，3个口,配置 完善 芯片 内存 硬盘 显示 无线 网卡 万象 个口,pos,"[(0, 0.015240281), (1, 0.015286656), (2, 0.015375019), (3, 0.015395995), (4, 0.015250453), (5, 0.92345166)]",5
白色的，很干净，很漂亮，携带方便，速度也不错，用了一周挺满意的，电池能用7小时左右,白色 干净 很漂亮 携带方便 速度 不错 一周 满意 电池 能用 小时,pos,"[(0, 0.013990986), (1, 0.014006335), (2, 0.9300608), (3, 0.013995668), (4, 0.013916987), (5, 0.014029197)]",2
外观不错，速度可以，键盘舒服，发热小，电池时间长，送货快，性价比高。,外观 不错 速度 键盘 舒服 发热 电池 时间 送货 性价比,pos,"[(0, 0.015231286), (1, 0.015242014), (2, 0.9236885), (3, 0.0152500775), (4, 0.015236201), (5, 0.015351903)]",2
外形小巧，白色很精致。,外形 小巧 白色 精致,pos,"[(0, 0.033653002), (1, 0.033691682), (2, 0.2643044), (3, 0.033897918), (4, 0.033497833), (5, 0.6009552)]",5
外观漂亮，速度还很快哦，最重要的是携带超级方便，电池续航能力很强！,外观 漂亮 速度 很快 携带 超级 电池 续航 能力,pos,"[(0, 0.016807484), (1, 0.016729096), (2, 0.91611457), (3, 0.016761836), (4, 0.016748855), (5, 0.016838193)]",2
当时买这个本儿就是冲着它漂亮+电池，性能啥的小本儿也没什么追求,冲着 漂亮 电池 性能 小本儿 没什么 追求,pos,"[(0, 0.02091576), (1, 0.020888466), (2, 0.8951462), (3, 0.02095278), (4, 0.020943597), (5, 0.021153197)]",2
不错的上网本，外形很漂亮，操作系统应该是个很大的 卖点，电池还可以。整体上讲，作为一个上网本的定位，还是不错的。,不错 上网 外形 很漂亮 操作系统 很大 卖点 电池 整体 上网 定位 不错,pos,"[(0, 0.17992766), (1, 0.012921452), (2, 0.7682686), (3, 0.012922956), (4, 0.012939361), (5, 0.013020021)]",2
闺蜜买了一个，我看到觉得外观啥的还不错，价格又那么便宜，正好考虑换电脑，就定了~,闺蜜 外观 不错 价格 便宜 正好 电脑,pos,"[(0, 0.020954555), (1, 0.02100128), (2, 0.74763715), (3, 0.020956209), (4, 0.020970488), (5, 0.16848029)]",2
便宜，够用。搞活动返现100还用了一张券，价格很满意了。机器坏了，京东能够上门取件去换，不用我跑腿。,便宜 够用 活动 返现 还用 一张 价格 满意 机器 京东 上门 取件 不用 跑腿,pos,"[(0, 0.011193687), (1, 0.011218484), (2, 0.94408613), (3, 0.01115833), (4, 0.011164833), (5, 0.011178501)]",2
白色的10寸上网本里面，就三星的这一款的漆膜最漂亮。,白色 上网 三星 一款 漆膜 漂亮,pos,"[(0, 0.023953034), (1, 0.02402898), (2, 0.024068546), (3, 0.56705666), (4, 0.023974631), (5, 0.3369182)]",3
为了高兴我买了第二个小白，这个小白安静，不爱叫，外皮漂亮，得常擦擦，长的也紧凑，有很好的设计感，虽然个子小，什么都安得上，装了不少东西，跑的一点不慢,第二个 小白 小白 安静 外皮 漂亮 擦擦 紧凑 很好 设计 个子 安得 东西 一点,pos,"[(0, 0.011159373), (1, 0.21906547), (2, 0.01120177), (3, 0.011164275), (4, 0.011154463), (5, 0.73625463)]",5
送给的，三星的外观做的很好，机器速度还不错，就是开机时候设置得花半个小时，比较慢需要等一会儿。另外电池很好，当时就是看了超长待机而毫不犹豫的买了。,送给 三星 外观 很好 机器 速度 不错 开机 设置 半个 小时 比较慢 一会儿 电池 超长 待机 毫不犹豫,pos,"[(2, 0.18518503), (5, 0.7773871)]",5
外观漂亮，最大的卖点。键盘大，联想ｓ１０被淘汰的原因。电池挺好的。,外观 漂亮 卖点 键盘 联想 淘汰 原因 电池,pos,"[(0, 0.018850747), (1, 0.1630047), (2, 0.76198286), (3, 0.018701969), (4, 0.018728647), (5, 0.01873111)]",2
"外型漂亮,漂亮,漂亮,漂亮,噪音小,几乎没噪音,键盘超好用,摸着好舒服的,散热也很好,电池很好,时间真的很长,白天视频效果很好,好喜欢,好喜欢",外型 漂亮 漂亮 漂亮 漂亮 噪音 噪音 键盘 超好 舒服 散热 电池 时间 真的 白天 视频 效果 喜欢 喜欢,pos,"[(2, 0.40641084), (3, 0.5599987)]",3
外观漂亮。。做工精致。。到货时全新的包装封条未开封。。电池可以用5、6个小时吧。。适合使用。。送的内胆包比较材质比较单薄。。,外观 漂亮 做工 精致 到货 全新 包装 封条 开封 电池 小时 适合 内胆 材质 单薄,pos,"[(0, 0.501335), (1, 0.010508323), (2, 0.4565917), (3, 0.010494784), (4, 0.010568103), (5, 0.010502076)]",0
买了半个月了，还没发现什么大问题，小问题多少有些，用了一天电脑还是微热，也没有其他本本那么响,半个 发现 电脑 微热 本本,pos,"[(0, 0.02788846), (1, 0.027920939), (2, 0.581949), (3, 0.3060294), (4, 0.028226074), (5, 0.027986145)]",2
做工很精致，性能稳定，我主要是玩魔兽争霸，看视频，没有遇到障碍，很不错；,做工 精致 性能 稳定 魔兽争霸 视频 障碍 不错,pos,"[(0, 0.018607939), (1, 0.018996587), (2, 0.9059561), (3, 0.018997138), (4, 0.018607588), (5, 0.018834628)]",2
外观漂亮，做工精致，键盘用起来舒服，没有太大的拘束感．女孩子用还是很不错的．它的尺寸个人认为并不影响使用．反倒是携带方便．同类商品中做工最好的一个，不过价格也是最贵的．,外观 漂亮 做工 精致 键盘 舒服 拘束 女孩子 不错 尺寸 影响 携带方便 同类 商品 做工 价格 最贵,pos,"[(1, 0.50312835), (2, 0.2596292), (5, 0.20922662)]",1
对比比了很多的上网本，联想的键盘边框太宽，导致键盘小，惠普的边框没有，但是太贵了！银子有限，至于华硕，宏?，性价比不高，华硕普遍贵，宏?还行，做工用料差些。,上网 联想 键盘 边框 导致 键盘 惠普 边框 太贵 银子 有限 华硕 性价比 华硕 做工 用料 差些,pos,"[(4, 0.9531057)]",4
"小巧,电力威猛,做工在同类产品中属于上乘(价格也如此),配置丰富,蓝牙,摄像头,读卡器,3个口,键盘质量好",小巧 电力 威猛 做工 同类产品 上乘 价格 配置 蓝牙 摄像头 读卡器 个口 键盘 质量,pos,"[(0, 0.011199836), (1, 0.0112498), (2, 0.011209768), (3, 0.9440001), (4, 0.011166138), (5, 0.011174314)]",3
外观出众，键盘在上网本里算是很贴心的很舒服的。另外，京东的送货速度真是没的说。第二天到货。很是到位啊,外观 出众 键盘 上网 算是 贴心 舒服 京东 送货 速度 没的说 第二天 到货 到位,pos,"[(0, 0.59515154), (1, 0.01124016), (2, 0.011287953), (3, 0.011232647), (4, 0.35980982), (5, 0.0112778675)]",0
做工非常精致，可于进口的小本媲美， 帮老婆选的，比自己的和朋友的做工要好很多，超静音,做工 精致 进口 小本 媲美 老婆 朋友 做工 静音,pos,"[(0, 0.016744291), (1, 0.016803306), (2, 0.016851619), (3, 0.016827159), (4, 0.016744366), (5, 0.9160292)]",5
轻便、小巧、配置不错！,轻便 小巧 配置 不错,pos,"[(0, 0.0335514), (1, 0.03351583), (2, 0.03379234), (3, 0.8320681), (4, 0.03353631), (5, 0.033536084)]",3
1.外观小巧，靓丽。机器应该是珠光白，有光的时候会略有珠光的反射。,外观 小巧 靓丽 机器 珠光 略有 珠光 反射,pos,"[(0, 0.018710861), (1, 0.018670216), (2, 0.018776262), (3, 0.018596407), (4, 0.0186403), (5, 0.9066059)]",5
白色的机壳让人觉得亮丽，重量轻携带方便，运行良好切续航时间长，使用很方便。,白色 机壳 亮丽 重量轻 携带方便 运行 续航 时间,pos,"[(0, 0.01865941), (1, 0.53196925), (2, 0.39328098), (3, 0.018740287), (4, 0.018659918), (5, 0.01869017)]",1
外观：金属边框配白色机身很精致，小小的。,外观 金属 边框 白色 机身 精致 小小的,pos,"[(0, 0.8944186), (1, 0.021118617), (2, 0.021206317), (3, 0.021112366), (4, 0.021037003), (5, 0.021107057)]",0
3399入手，送包送散热器，整体很不错。,入手 包送 散热器 整体 不错,pos,"[(0, 0.028051334), (1, 0.27701908), (2, 0.61079293), (3, 0.027910508), (4, 0.028248621), (5, 0.027977483)]",2
今天到手的，装了 感觉还不错，够流畅的，显存改为128了，跑了跑10，得分还不低1804,到手 感觉 不错 流畅 显存 改为 得分,pos,"[(0, 0.021044599), (1, 0.020946061), (2, 0.02125691), (3, 0.021010768), (4, 0.021211196), (5, 0.8945305)]",5
没有许多网友评价热度高的问题，第一次要手动安装，主板的-硬盘重新设置,网友 评价 热度 第一次 手动 安装 主板 硬盘 设置,pos,"[(0, 0.016751513), (1, 0.9158275), (2, 0.016868439), (3, 0.016758356), (4, 0.016860332), (5, 0.016933843)]",1
价钱还没搞明白，货到了就掉了100，这点确实有点汗，,价钱 明白 确实,pos,"[(0, 0.041817848), (1, 0.041730814), (2, 0.04192448), (3, 0.041833397), (4, 0.04173832), (5, 0.7909551)]",5
