Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,,Topic13-主题词,Topic13-权重,,Topic14-主题词,Topic14-权重,,Topic15-主题词,Topic15-权重,
服务态度,0.011,C,装修,0.014,F2,舒适,0.012,D2,不错,0.011,/,老板,0.009,D,舒适,0.009,D2,热情,0.012,C3,好看,0.01,A,选择,0.007,/,装修,0.011,F2,出行,0.01,A1,风格,0.012,F,酒店,0.012,A,管家,0.014,D,环境,0.012,A3,民宿,0.011,A
管家,0.011,D,不错,0.013,/,便利,0.012,A1,很棒,0.01,/,适合,0.008,/,环境,0.009,A3,老板,0.011,D,值得,0.008,E,老板,0.007,D,适合,0.011,/,舒适,0.01,D2,舒服,0.011,D2,卫生,0.009,A3,推荐,0.014,E,装修,0.01,F2,床垫,0.011,A2
特色,0.01,F,民宿,0.013,A,体验,0.012,/,舒适,0.01,D2,下午茶,0.008,F1,朋友,0.008,/,体验,0.011,/,好吃,0.008,F1,风格,0.007,F,热情,0.011,C3,舒服,0.009,D2,出行,0.01,A1,老板娘,0.009,D,舒适,0.014,D2,民宿,0.01,A,老板,0.008,D
拍照,0.01,A,老板,0.012,D,整洁,0.011,A3,老板,0.01,D,外卖,0.007,/,图片,0.008,A,很大,0.009,A,打扫,0.008,A3,好评,0.007,/,设施,0.01,A2,朋友,0.009,/,便利,0.009,A1,体验,0.009,/,喜欢,0.013,E,出门,0.008,A1,隔音,0.006,D2
选择,0.01,/,酒店,0.012,A,舒服,0.01,D2,好吃,0.009,F1,大学城,0.007,A1,酒店,0.008,A,到位,0.009,D,院子,0.008,A,环境,0.007,A3,感觉,0.009,/,很大,0.008,A,推荐,0.009,E,舒服,0.009,D2,酒店,0.012,A,贴心,0.008,C3,阳台,0.006,A
干净,0.01,A3,热情,0.011,C3,洗澡,0.01,A,体验,0.009,/,贴心,0.007,C3,投影,0.007,A2,入住,0.009,/,感觉,0.008,/,夜景,0.005,A,舒适,0.008,D2,适合,0.008,/,舒适,0.009,D2,打卡,0.007,A1,老板,0.008,D,江景,0.007,A1,店家,0.006,D
煮茶,0.008,A2,风格,0.009,F,热水,0.008,A2,店家,0.008,D,整体,0.007,/,布置,0.007,A,朋友,0.008,/,环境,0.008,A3,地铁站,0.005,A1,满意,0.007,/,感觉,0.008,/,装修,0.008,F2,环境优美,0.007,A3,出行,0.008,A1,老板,0.007,D,地方,0.006,A1
围炉,0.008,A2,舒服,0.008,D2,酒店,0.008,A,值得,0.008,E,照片,0.007,A,保洁,0.007,A3,设施,0.008,A2,不错,0.008,/,国金,0.005,A1,体验,0.007,/,整体,0.008,/,老板,0.008,D,锁死,0.007,E,惬意,0.007,D2,煮茶,0.007,A2,打卡,0.006,A1
早餐,0.008,F1,满意,0.007,/,位置,0.008,A1,管家,0.008,D,整洁,0.007,A3,管家,0.007,D,泡澡,0.007,A2,体验,0.007,/,投屏,0.005,A2,拍照,0.007,A,地铁站,0.007,A1,地理位置,0.008,A1,房东,0.007,D,到位,0.007,D,地铁站,0.007,A1,睡懒觉,0.006,/
老板,0.008,D,舒适,0.007,D2,服务态度,0.007,C,图片,0.006,A,酒店,0.007,A,热情,0.007,C3,好吃,0.007,F1,卫生,0.007,A3,床上,0.005,A,管家,0.007,D,风格,0.007,F,热情,0.008,C3,服务态度,0.007,C,朋友,0.006,/,细节,0.007,E4,拍照,0.006,A
整洁,0.008,A3,位置,0.007,A1,宽敞,0.006,A,老板娘,0.006,D,价格,0.007,E,老板,0.007,D,性价比,0.007,E,很漂亮,0.007,A,感觉,0.005,/,院子,0.007,A,装修,0.007,F2,交通,0.006,A1,贴心,0.007,C3,地段,0.006,A1,围炉,0.007,A2,老板娘,0.006,D
热情,0.008,C3,整体,0.007,/,景色,0.005,A1,满意,0.006,/,推荐,0.007,E,整洁,0.007,A3,地理位置,0.007,A1,很大,0.007,A,视野,0.005,A1,风格,0.006,F,性价比,0.006,E,很棒,0.006,/,老板,0.007,D,贴心,0.006,C3,体验,0.007,/,雷点,0.004,/
整体,0.007,/,很棒,0.006,/,地理位置,0.005,A1,酒店,0.006,A,好吃,0.007,F1,露台,0.006,A,舒适,0.007,D2,惬意,0.007,D2,遮光,0.005,A,整洁,0.006,A3,体验,0.006,/,选择,0.006,/,江景,0.007,A1,价格,0.006,E,喜欢,0.007,E,攻略,0.004,E
漂亮,0.007,A,管家,0.006,D,江景,0.005,A1,舒服,0.006,D2,设施,0.007,A2,地理位置,0.006,A1,贴心,0.007,C3,整洁,0.007,A3,机会,0.005,/,好吃,0.006,F1,整洁,0.006,A3,整洁,0.006,A3,位置,0.007,A1,水果,0.006,F1,整洁,0.007,A3,二楼,0.004,/
地方,0.007,A1,前台,0.005,D,出行,0.005,A1,地方,0.006,A1,夜景,0.006,A,宽敞,0.006,A,值得,0.007,E,风格,0.007,F,出差,0.005,/,早餐,0.006,F1,贴心,0.006,C3,入住,0.006,/,夜景,0.006,A,选择,0.006,/,入住,0.007,/,配备,0.004,A2
体验,0.007,/,地理位置,0.005,A1,地方,0.005,A1,完善,0.005,A2,朋友,0.006,/,装修,0.006,F2,投影仪,0.007,A2,管家,0.007,D,整洁,0.005,A3,老板,0.006,D,价格,0.006,E,江景,0.006,A1,放松,0.005,D2,位置,0.006,A1,推荐,0.007,E,提前,0.004,C1
氛围,0.007,A3,拍照,0.005,A,好吃,0.005,F1,喜欢,0.005,E,管家,0.005,D,床铺,0.006,A2,姐妹,0.005,/,满意,0.007,/,装修,0.005,F2,江景,0.005,A1,入住,0.006,/,宽敞,0.006,A,床品,0.005,A2,布置,0.005,A,性价比,0.007,E,枕头,0.004,A2
满意,0.007,/,好看,0.005,A,朋友,0.005,/,建议,0.004,E1,美食,0.005,F1,公寓,0.006,A,隔音,0.005,D2,很好,0.005,/,房子,0.005,A,出片,0.005,A,喜欢,0.006,E,满意,0.006,/,优雅,0.005,F2,满意,0.005,/,不想,0.005,/,总体,0.004,/
不错,0.007,/,值得,0.005,E,早餐,0.005,F1,面积,0.004,A,续房,0.005,E,很大,0.006,A,灯光,0.005,A2,工作人员,0.005,D,惊喜,0.005,E4,喜欢,0.005,E,很好,0.005,/,下楼,0.006,A1,电影,0.005,A2,用品,0.005,A2,惬意,0.005,D2,感受,0.004,/
细节,0.005,E4,暖气,0.004,A2,拍照,0.005,A,贴心,0.004,C3,牛奶,0.005,E,喜欢,0.006,E,露台,0.005,A,出门,0.005,A1,用心,0.005,E4,交通,0.005,A1,热情,0.005,C3,浴缸,0.006,A2,浴缸,0.005,A2,情侣,0.005,/,行李,0.005,/,超值,0.004,/
办理,0.005,B3,风景,0.004,A,地铁口,0.004,A1,细心,0.004,D,玻璃,0.005,A,感觉,0.006,/,出行,0.005,A1,退房,0.005,C,设施,0.005,A2,风景,0.005,A,隔音,0.005,D2,店家,0.006,D,泡澡,0.005,A2,景色,0.005,A1,值得,0.005,E,下午茶,0.004,F1
女朋友,0.005,/,围炉,0.004,A2,距离,0.004,A1,异味,0.004,A3,手机,0.005,/,干湿,0.004,A2,很棒,0.005,/,位置,0.005,A1,朋友,0.005,/,入住,0.005,/,酒店,0.005,A,环境,0.006,A3,温柔,0.005,E4,工作人员,0.005,D,打扫,0.005,A3,适合,0.004,/
周到,0.005,E4,距离,0.004,A1,值得,0.004,E,地铁站,0.004,A1,美景,0.005,A1,柔软,0.004,A2,夜景,0.005,A,用心,0.005,E4,投影,0.005,A2,很大,0.004,A,值得,0.005,E,适合,0.005,/,管家,0.005,D,周到,0.005,E4,好吃,0.005,F1,名宿,0.004,A
出行,0.005,A1,很大,0.004,A,很大,0.004,A,碰到,0.004,/,寄存,0.005,/,景点,0.004,A1,房东,0.005,D,拍照,0.005,A,热情,0.005,C3,对面,0.004,A1,步行,0.004,A1,房型,0.005,A,停车,0.005,A,泡澡,0.005,A2,下楼,0.005,A1,惬意,0.004,D2
交通,0.005,A1,落地窗,0.004,A2,巷子,0.004,A1,行李,0.004,/,天气,0.005,/,房东,0.004,D,喜欢,0.005,E,别致,0.003,A,地方,0.004,A1,煮茶,0.004,A2,马桶,0.004,A2,贴心,0.005,C3,地理位置,0.005,A1,服务态度,0.005,C,出行,0.005,A1,奶油,0.004,/
贴心,0.005,C3,地铁口,0.004,A1,空间,0.004,A,空气,0.004,A3,布置,0.005,A,风格,0.004,F,投影,0.005,A2,下午茶,0.003,F1,地台,0.004,A,空间,0.004,A,打卡,0.004,A1,好看,0.005,A,耐心,0.005,E2,整洁,0.005,A3,院子,0.005,A,好吃,0.004,F1
前台,0.005,D,性价比,0.004,E,空调,0.004,A2,整体,0.004,/,到位,0.005,D,市中心,0.004,A1,酒店,0.005,A,便捷,0.003,A1,吃饭,0.004,F1,出行,0.004,A1,拍照,0.004,A,服务态度,0.004,C,装修,0.005,F2,房间内,0.005,A,朋友,0.005,/,住宿,0.004,/
灯光,0.005,A2,交通,0.004,A1,感觉,0.004,/,房型,0.004,A,地方,0.005,A1,漂亮,0.004,A,江景,0.005,A1,氛围,0.003,A3,色调,0.004,A,贴心,0.004,C3,院子,0.004,A,坡子,0.004,A1,适合,0.004,/,细致,0.005,D,舒适,0.005,D2,价格,0.004,E
适合,0.005,/,煮茶,0.004,A2,布置,0.004,A,放心,0.004,D2,露台,0.005,A,床垫,0.004,A2,客服,0.005,C,美好,0.003,/,看电视,0.004,A2,地理位置,0.004,A1,开心,0.004,/,风景,0.004,A,超大,0.004,A,装修,0.004,F2,实用,0.003,A2,私汤,0.004,E1
舒服,0.005,D2,贴心,0.004,C3,差评,0.003,/,耐心,0.004,E2,图片,0.005,A,分离,0.004,A2,美食,0.004,F1,围炉,0.003,A2,实拍,0.004,A,惊喜,0.003,E4,出门,0.004,A1,整体,0.004,/,对面,0.004,A1,坡子,0.004,A1,吹风机,0.003,A2,空调,0.004,A2
用心,0.005,E4,客服,0.004,C,声音,0.003,/,卫生间,0.004,A2,吃货,0.005,/,江景,0.004,A1,风景,0.004,A,超好,0.003,/,好吃,0.004,F1,客服,0.003,C,煮茶,0.004,A2,值得,0.004,E,氛围,0.004,A3,老街,0.003,A1,智能,0.003,A2,喝茶,0.004,F
很好,0.005,/,提前,0.003,C1,繁华,0.003,A1,房东,0.004,D,装修,0.005,F2,贴心,0.004,C3,好看,0.004,A,水果,0.003,F1,窗帘,0.004,A2,开心,0.003,/,地方,0.004,A1,地铁站,0.004,A1,赠送,0.004,E4,饭店,0.003,A1,客厅,0.003,A,体验,0.004,/
出片,0.003,A,网红,0.003,A,博物馆,0.003,A1,景点,0.004,A1,落地,0.005,/,性价比,0.004,E,效果,0.004,/,友好,0.003,A4,行李,0.004,/,住宿,0.003,/,围炉,0.004,A2,拍照,0.004,A,风格,0.004,F,安排,0.003,/,情侣,0.003,/,商圈,0.004,A1
密码,0.003,A2,帮忙,0.003,C,庭院,0.003,A,性价比,0.004,E,景点,0.005,A1,满意,0.004,/,地铁,0.004,A1,价格,0.003,E,很漂亮,0.004,A,前台,0.003,D,老板娘,0.004,D,布置,0.004,A,超赞,0.004,/,款待,0.003,F1,达标,0.003,/,泡泡,0.004,/
提供,0.003,/,投影,0.003,A2,解决,0.003,C,床垫,0.004,A2,入住,0.005,/,很漂亮,0.004,A,住宿,0.004,/,中央空调,0.003,A2,房型,0.004,A,用品,0.003,A2,布局,0.003,A,文和友,0.003,A1,封顶,0.004,/,放心,0.003,D2,美食,0.003,F1,服务态度,0.004,C
细心,0.003,D,适合,0.003,/,充足,0.003,/,负责,0.003,D3,床单,0.005,A2,厕所,0.003,A,出门,0.004,A1,很小,0.003,/,帮忙,0.004,C,电影,0.003,A2,住宿,0.003,/,周到,0.003,E4,住宿,0.004,/,地铁,0.003,A1,房东,0.003,D,舒适,0.004,D2
套房,0.003,/,老板娘,0.003,D,老板娘,0.003,D,问宿,0.003,/,发现,0.005,/,沟通,0.003,B4,愉快,0.004,/,卫生间,0.003,A2,步行街,0.004,A1,电梯,0.003,A2,美食,0.003,F1,完善,0.003,A2,进门,0.004,A,宗街,0.003,A1,寄存,0.003,/,管家,0.004,D
满满,0.003,/,视野,0.003,A1,布局,0.003,A,布局,0.003,A,泳池,0.005,A2,隔音,0.003,D2,耐心,0.004,E2,质感,0.003,A2,小时,0.004,/,效果,0.003,/,智能,0.003,A2,感觉,0.003,/,心情,0.004,/,地点,0.003,A1,时尚,0.003,A,值得,0.004,E
照片,0.003,A,早餐,0.003,F1,用心,0.003,E4,办理,0.003,B3,洗漱,0.005,A2,不太好,0.003,/,名宿,0.004,A,布置,0.003,A,咖啡,0.004,/,很漂亮,0.003,A,后院,0.003,A,出门,0.003,A1,态度,0.004,C,好玩,0.003,/,对面,0.003,A1,很棒,0.004,/
风景,0.003,A,停车,0.003,A,景点,0.003,A1,小心,0.003,/,空间,0.005,A,枕头,0.003,A2,感觉,0.004,/,很棒,0.003,/,空间,0.004,A,围炉,0.003,A2,市中心,0.003,A1,性价比,0.003,E,值得,0.004,E,洗漱,0.003,A2,靠近,0.003,A1,喜欢,0.004,E
愉快,0.003,,提供,0.003,,清晰,0.003,,人员,0.003,,感觉,0.005,,冰箱,0.003,,空间,0.004,,感到,0.003,,欣赏,0.004,,性价比,0.003,,休息,0.003,,早餐,0.003,,入住,0.004,,完美,0.003,,进门,0.003,,很好,0.004,
热心,0.003,,地方,0.003,,宠物,0.003,,格调,0.003,,江景,0.005,,交通,0.003,,地板,0.004,,度过,0.003,,聚会,0.004,,好找,0.003,,一楼,0.003,,好吃,0.003,,推荐,0.004,,舒心,0.003,,马桶,0.003,,热情,0.004,
便捷,0.003,,朋友,0.003,,恐怖,0.003,,玻璃,0.003,,热情,0.005,,马桶,0.003,,地方,0.004,,赠送,0.003,,悬浮,0.004,,周到,0.003,,天气,0.003,,朋友,0.003,,特色,0.004,,过程,0.003,,风格,0.003,,滞涩,0.002,
进门,0.003,,江景,0.003,,房东,0.003,,用心,0.003,,亲切,0.003,,被子,0.003,,好评,0.004,,保洁,0.003,,温暖,0.004,,空调,0.003,,选择,0.003,,用心,0.003,,拍照,0.004,,烟霞,0.003,,视野,0.003,,系统,0.002,
专业,0.003,,感觉,0.003,,评价,0.003,,阳台,0.003,,位置,0.003,,对面,0.003,,民宿,0.003,,零食,0.003,,惬意,0.004,,很棒,0.003,,帮忙,0.003,,公寓,0.002,,朋友,0.003,,房东,0.003,,图片,0.003,,主人,0.002,
下午茶,0.003,,一楼,0.002,,车子,0.003,,坡子,0.003,,早餐,0.003,,优越,0.003,,硬件,0.003,,店长,0.003,,江景,0.004,,宽敞,0.003,,效果,0.003,,挺好,0.002,,烧烤,0.003,,优美,0.003,,热心,0.003,,人群,0.002,
放松,0.003,,地铁站,0.002,,步行,0.003,,小吃,0.003,,回复,0.002,,房型,0.003,,感谢,0.003,,确实,0.003,,图片,0.004,,电话,0.003,,用心,0.003,,喝茶,0.002,,交通,0.003,,宽敞,0.003,,适合,0.003,,告诉,0.002,
视野,0.003,,正好,0.002,,卫生间,0.003,,外卖,0.003,,麻将桌,0.002,,前台,0.003,,老板娘,0.003,,整体,0.003,,很棒,0.004,,赠送,0.003,,好评,0.003,,楼层,0.002,,精致,0.002,,布局,0.003,,总体,0.003,,著名景点,0.002,
厨房,0.003,,总体,0.002,,看着,0.003,,湘菜,0.003,,挂不住,0.002,,配套,0.003,,回复,0.003,,入住,0.003,,围炉,0.004,,失望,0.003,,细节,0.003,,宗街,0.002,,夸夸,0.002,,完善,0.003,,停车,0.003,,打坐,0.002,
品质,0.003,,房子,0.002,,适合,0.003,,程序,0.003,,地段,0.002,,态度,0.003,,品茶,0.003,,舒适,0.003,,适合,0.004,,两张床,0.003,,交通,0.003,,氛围,0.002,,诗意,0.002,,愉快,0.003,,床头柜,0.003,,陷落,0.002,
细致,0.003,,不用,0.002,,好看,0.003,,泡澡,0.003,,卖点,0.002,,很软,0.003,,客厅,0.003,,装修,0.003,,颜值,0.004,,洗衣机,0.003,,地理位置,0.003,,惬意,0.002,,放心,0.002,,女朋友,0.003,,萝卜,0.003,,溜达,0.002,
打卡,0.003,,冰箱,0.002,,吃饭,0.003,,队伍,0.003,,位于,0.002,,浴缸,0.003,,惊喜,0.003,,贴心,0.003,,繁华,0.004,,超赞,0.003,,很棒,0.003,,还给,0.002,,到达,0.002,,品牌,0.003,,投影,0.003,,幕布,0.002,
水果,0.003,,超好,0.002,,愉快,0.003,,交通,0.003,,离坡子,0.002,,好看,0.003,,步行,0.003,,出差,0.003,,满意,0.004,,首选,0.003,,时间,0.003,,景点,0.002,,拍摄,0.002,,江景,0.003,,价格,0.003,,解放,0.002,
靠近,0.003,,照片,0.002,,出差,0.003,,洗衣机,0.003,,打麻将,0.002,,挺大,0.003,,员工,0.003,,设施,0.003,,舒适,0.004,,相符,0.003,,距离,0.002,,投影,0.002,,浓厚,0.002,,小朋友,0.003,,老板娘,0.003,,信息,0.002,
机会,0.003,,完美,0.002,,很漂亮,0.003,,冬瓜,0.003,,太太,0.002,,推荐,0.003,,坐在,0.003,,绿荫,0.003,,卫生间,0.004,,窗户,0.003,,酒吧,0.002,,优越,0.002,,兄弟,0.002,,适合,0.003,,前台,0.003,,萝卜,0.002,
好评,0.003,,投影仪,0.002,,打卡,0.003,,超大,0.003,,早饭,0.002,,选择,0.003,,空空,0.003,,煮茶,0.003,,煮茶,0.004,,客厅,0.003,,坡子,0.002,,用品,0.002,,电动车,0.002,,氛围,0.003,,服务态度,0.003,,洗完,0.002,
住宿,0.003,,友好,0.002,,选择,0.003,,价格,0.003,,墙面,0.002,,出行,0.003,,介绍,0.003,,到位,0.002,,城景,0.004,,泳池,0.003,,回复,0.002,,马桶,0.002,,地铁,0.002,,建议,0.003,,空间,0.003,,调好,0.002,
程序,0.003,,电影,0.002,,效果,0.003,,冰箱,0.003,,被子,0.002,,不行,0.002,,帮忙,0.003,,客服,0.002,,确实,0.004,,出去玩,0.003,,外卖,0.002,,好评,0.002,,餐食,0.002,,拍照,0.003,,牛奶,0.003,,发呆,0.002,
耐心,0.003,,餐厅,0.002,,好评,0.003,,牛奶,0.003,,耳塞,0.002,,洗漱,0.002,,味道,0.003,,住房,0.002,,推荐,0.004,,选择,0.003,,超赞,0.002,,打卡,0.002,,水压,0.002,,团建,0.003,,卫生间,0.003,,麻烦,0.002,
姐妹,0.003,,位于,0.002,,对面,0.003,,住客,0.003,,性价比,0.002,,休息,0.002,,大门,0.003,,连住,0.002,,隔音,0.004,,老板娘,0.003,,小朋友,0.002,,房东,0.002,,算是,0.002,,泡浴,0.003,,开心,0.003,,打动,0.002,
开心,0.003,,中心,0.002,,环境优美,0.003,,隔音,0.003,,还好,0.002,,灯光,0.002,,确实,0.003,,老街,0.002,,发现,0.004,,房东,0.003,,房东,0.002,,地方,0.002,,基础设施,0.002,,环境优美,0.003,,到位,0.003,,超高,0.002,
位置,0.003,,质量,0.002,,马桶,0.003,,院子,0.003,,临近,0.002,,梳子,0.002,,房型,0.003,,休息,0.002,,拍照,0.004,,服务态度,0.003,,喝茶,0.002,,体验,0.002,,跃动,0.002,,打卡,0.003,,管家,0.003,,独特,0.002,
麻将桌,0.002,,泳池,0.002,,友好,0.003,,围炉,0.003,,庭院,0.002,,一楼,0.002,,景色,0.003,,精致,0.002,,出行,0.004,,出门,0.003,,桔子,0.002,,到位,0.002,,书院,0.002,,很棒,0.003,,热闹,0.003,,巨好,0.002,
样子,0.002,,院子,0.002,,广场,0.003,,店长,0.003,,速度,0.002,,电热毯,0.002,,阳台,0.003,,浴室,0.002,,整体,0.004,,提供,0.003,,味道,0.002,,院子,0.002,,鱼池,0.002,,帮忙,0.003,,很好,0.003,,差劲,0.002,
餐厅,0.002,,居住,0.002,,夜景,0.003,,重点,0.003,,幸运,0.002,,找到,0.002,,景点,0.003,,好好看,0.002,,楼层,0.004,,公寓,0.003,,光线,0.002,,小吃,0.002,,马路,0.002,,景点,0.003,,选择,0.003,,一楼,0.002,
聚会,0.002,,周到,0.002,,出门,0.003,,早餐,0.003,,一条街,0.002,,退房,0.002,,烤面包,0.003,,博物馆,0.002,,泳池,0.004,,简单,0.003,,泡池,0.002,,到达,0.002,,充电器,0.002,,可爱,0.003,,控制,0.002,,被子,0.002,
浪漫,0.002,,住宿,0.002,,蜘蛛,0.003,,马桶,0.003,,消息,0.002,,餐馆,0.002,,停车,0.003,,舒适度,0.002,,喜欢,0.004,,地方,0.003,,冰箱,0.002,,细节,0.002,,位居,0.002,,面积,0.003,,声音,0.002,,场所,0.002,
扫码,0.002,,便利,0.002,,优美,0.003,,前台,0.003,,后花园,0.002,,人员,0.002,,出差,0.003,,送餐,0.002,,性价比,0.004,,投影,0.003,,放松,0.002,,前台,0.002,,客服,0.002,,开心,0.002,,心思,0.002,,美食,0.002,
清洁,0.002,,景点,0.002,,便捷,0.003,,步行,0.003,,鸟叫声,0.002,,回答,0.002,,下午茶,0.003,,全景,0.002,,挺大,0.004,,布局,0.002,,解决,0.002,,餐厅,0.002,,信赖,0.002,,值得,0.002,,学会,0.002,,泡上,0.002,
游船,0.002,,惬意,0.002,,商圈,0.003,,朋友,0.003,,空调,0.002,,预定,0.002,,院子,0.003,,夫妇,0.002,,心情,0.002,,地铁站,0.002,,图片,0.002,,质量,0.002,,原因,0.002,,来住,0.002,,水品,0.002,,新风,0.002,
离开,0.002,,氛围,0.002,,大学城,0.003,,房间内,0.003,,地理位置,0.002,,建议,0.002,,选择,0.003,,温柔,0.002,,细看,0.002,,沟通,0.002,,浴缸,0.002,,心静,0.002,,品位,0.002,,清新,0.002,,耐心,0.002,,小孩子,0.002,
想到,0.002,,用心,0.002,,投影,0.003,,退房,0.003,,细节,0.002,,控制,0.002,,泳池,0.003,,欣赏,0.002,,介绍,0.002,,提前,0.002,,夜景,0.002,,合适,0.002,,灵感,0.002,,回复,0.002,,先进,0.002,,森林,0.002,
年轻,0.002,,出行,0.002,,小吃,0.003,,空调,0.003,,提供,0.002,,电梯,0.002,,挺好,0.003,,外套,0.002,,奶茶,0.002,,走路,0.002,,对面,0.002,,写字楼,0.002,,房间内,0.002,,临睡前,0.002,,小家,0.002,,足够,0.002,
清新,0.002,,服务态度,0.002,,景区,0.003,,转身,0.001,,看吧,0.002,,围炉,0.002,,老街,0.003,,发现,0.002,,解决,0.002,,清新,0.002,,空间,0.002,,房费,0.002,,小吃,0.002,,告知,0.002,,匹配,0.002,,抵达,0.002,
手工,0.002,,接待,0.002,,停车场,0.003,,旧楼,0.001,,投影仪,0.002,,布局合理,0.002,,整体,0.003,,帽子,0.002,,烟雨,0.002,,行李箱,0.002,,停车,0.002,,照顾,0.002,,毗邻,0.002,,餐食,0.002,,需求,0.002,,质感,0.002,
电脑,0.002,,布置,0.002,,空气,0.003,,简洁,0.001,,宵夜,0.002,,只能,0.002,,房子,0.003,,评价,0.002,,住宿,0.002,,氛围,0.002,,行李,0.002,,家庭,0.002,,宗街,0.002,,给赞,0.002,,街市,0.002,,悬空,0.002,
智能,0.002,,咖啡厅,0.002,,很棒,0.003,,纸巾,0.001,,惊喜,0.002,,别致,0.002,,浴室,0.003,,预订,0.002,,装备,0.002,,度假,0.002,,江景,0.002,,很漂亮,0.002,,光顾,0.002,,聚会,0.002,,年轻,0.002,,明亮,0.002,
客厅,0.002,,玻璃房,0.002,,满意,0.003,,智能,0.001,,当家,0.002,,出门,0.002,,热闹,0.003,,区域,0.002,,折腾,0.002,,店长,0.002,,总体,0.002,,机会,0.002,,电视,0.002,,小众,0.002,,厕所,0.002,,开好,0.002,
