Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment,主题概率,主题类型
,2024-07-31 13:06:14,二次根式式,1,垃圾软件,开通会员再开通大会员会员的钱不给退白瞎15块倒是先说清楚会员和大会员的区别啊,开通 会员 开通 会员 会员 给退 会员 会员 区别,负面,"[(0, 0.9066346)]",0
,2024-07-31 11:38:17,33苦4,1,实行文字狱的APP,（该条评论已经被删除）稍微有一点点敏感的话，都不能发🤮,评论 删除 敏感,负面,"[(0, 0.016667191), (1, 0.01666719), (2, 0.016667191), (3, 0.01666719), (4, 0.016667217), (5, 0.01666726), (6, 0.016667204), (7, 0.01666719), (8, 0.016667211), (9, 0.016667202), (10, 0.0166672), (11, 0.7666592), (12, 0.016667191), (13, 0.0166672), (14, 0.016667193)]",11
,2024-07-31 03:19:35,游客3387654,1,发现一个巨大的bug,我睡觉给视频定时关闭二十分钟，就关上屏幕睡了（有后台播放吗不是）然后！我半夜醒了，还在播，打开站，发现弹窗提示：定时关闭时间已到是否关闭？。。。。我都定时关上屏幕睡觉了，这个弹窗要等我睡醒点关闭吗？？？神经，我用的流量，播几个小时你开心了吧，我不会原谅你这个无情的家伙,睡觉 视频 关闭 屏幕 后台 播放 打开 发现 弹窗 提示 关闭 时间 关闭 屏幕 睡觉 弹窗 睡醒 关闭 神经 我用 流量 小时 开心 无情 家伙,负面,"[(7, 0.11088406), (8, 0.8557712)]",8
,2024-07-31 01:43:42,453/¥¥55,3,半夜给我推荐察边直播,熬个夜还让我开了眼了，真的恶心了，站是在做什么交易呢？还是审核晚上准点睡觉啊？？？无语的要,恶心 交易 审核 准点 睡觉,负面,"[(0, 0.011116658), (1, 0.011116656), (2, 0.011116657), (3, 0.8443665), (4, 0.011116661), (5, 0.011116656), (6, 0.011116657), (7, 0.011116719), (8, 0.011116695), (9, 0.011116685), (10, 0.011116685), (11, 0.011116707), (12, 0.01111668), (13, 0.0111166695), (14, 0.011116674)]",3
,2024-07-30 18:54:04,改个名字怎么这么费劲呀啊嘿,1,新的粉丝牌规则是来搞笑的吗,主播不能靠发弹幕来点亮自己的粉丝牌，只能上舰长，这吃相过于难看了吧？我天天去自己直播间签到，好不容易升到15级，这就给我灭了。纯傻波一软件,弹幕 点亮 粉丝 只能 舰长 难看 直播间 签到 升到 傻波 软件,负面,"[(2, 0.07864448), (7, 0.84908706)]",7
,2024-07-30 14:30:34,Vindw,1,处理问题太机器化,什么问题都解决不好太垃圾一直推推推 听不懂人话,解决 垃圾 推推 听不懂,负面,"[(0, 0.013338203), (1, 0.013338227), (2, 0.013338294), (3, 0.013338192), (4, 0.013338182), (5, 0.013338177), (6, 0.0133382045), (7, 0.013338246), (8, 0.013338187), (9, 0.013338222), (10, 0.013338192), (11, 0.013338206), (12, 0.013338221), (13, 0.013338184), (14, 0.813265)]",14
,2024-07-30 13:41:38,妮妮称霸世界,1,一⭐️还是多了,（该条评论已经被删除）蛆站名不虚传，期待倒闭呀🥰,评论 删除 蛆站 期待 倒闭,负面,"[(0, 0.011111454), (1, 0.011111472), (2, 0.011111454), (3, 0.011111451), (4, 0.011111479), (5, 0.011111525), (6, 0.011111466), (7, 0.011111453), (8, 0.011111474), (9, 0.011111473), (10, 0.0111114625), (11, 0.011111491), (12, 0.011111458), (13, 0.8444394), (14, 0.011111457)]",13
,2024-07-30 10:25:54,讨厌破站,1,最恨的直播平台,粉丝灯牌三天不刷就自动掉了 盲盒也坑 舰长搞什么涨价 动不动被警告 别人擦成那样都能播 我就不行 气鼠了😤,粉丝 灯牌 不刷 盲盒 舰长 涨价 警告 擦成 不行 气鼠,负面,"[(9, 0.25242072), (12, 0.6687487)]",12
,2024-07-30 09:53:40,楼下遇见你,4,非常好非常好,就是能不能把原来的选集点后有痕迹的那个功能恢复一下啊 都不知道自己看到哪了呜呜求求了,选集 痕迹 功能 恢复 求求,负面,"[(0, 0.011126311), (1, 0.011126295), (2, 0.011126377), (3, 0.01112629), (4, 0.011126298), (5, 0.0111263255), (6, 0.011126299), (7, 0.011126348), (8, 0.011126299), (9, 0.38657632), (10, 0.011126302), (11, 0.011126339), (12, 0.0111262845), (13, 0.46878162), (14, 0.0111262845)]",13
,2024-07-30 06:00:12,Tasville,1,沟槽的纱沟软件,（该条评论已经被删除）烂透了,评论 删除,负面,"[(0, 0.022222241), (1, 0.022222238), (2, 0.022222238), (3, 0.022222238), (4, 0.022222267), (5, 0.68888855), (6, 0.022222253), (7, 0.022222238), (8, 0.02222226), (9, 0.02222225), (10, 0.022222249), (11, 0.022222275), (12, 0.022222241), (13, 0.02222225), (14, 0.022222243)]",5
,2024-07-29 22:42:24,我不是弟中弟,1,没地方清缓存,占了十几个内存，设置里清缓存只有几百，流氓软件,内存 缓存 流氓软件,负面,"[(0, 0.016677435), (1, 0.016677413), (2, 0.553324), (3, 0.016677422), (4, 0.016677413), (5, 0.22986946), (6, 0.016677413), (7, 0.016677413), (8, 0.016677413), (9, 0.016677413), (10, 0.01667747), (11, 0.016677424), (12, 0.016677413), (13, 0.01667753), (14, 0.016677415)]",2
,2024-07-29 22:11:44,RedRoad🇨🇳,3,听视频按钮被隐藏,如题，之前可在竖屏界面找到的听视频按钮被隐藏起来了，只有横屏后全屏播放时，才能在右上角三个点中找到听视频按钮，这极大增加了不便！希望尽快改回来！,竖屏 界面 找到 视频 按钮 隐藏 横屏 点中 找到 视频 按钮 增加 希望,负面,"[(7, 0.93330914)]",7
,2024-07-29 19:23:38,zhangduyu,1,为什么默认开启弹幕？,打开一个视频弹幕默认就开启了。,打开 视频 弹幕 默认 开启,负面,"[(0, 0.011111794), (1, 0.011111794), (2, 0.011111798), (3, 0.011111871), (4, 0.011111836), (5, 0.011111797), (6, 0.011111815), (7, 0.66147566), (8, 0.011111801), (9, 0.011111798), (10, 0.19407083), (11, 0.011111828), (12, 0.011111794), (13, 0.011111812), (14, 0.011111791)]",7
,2024-07-29 19:04:45,ｕｙｉｐ,3,建议取消阿瓦隆系统,我在一个造谣视频下发布辟谣评论，结果被阿瓦隆系统吞了，类似的事情还有很多，阿瓦隆系统这么做会造成信息茧房，不利于网友正常思考。 -----------------------------------------------------------------------------------------  开发者回复：小伙伴的评论情况如果出现被删除或不能显示，您可以通过链接（://../5//）提交申诉，如果您的评论核实无问题会帮您恢复。,造谣 视频 发布 评论 系统 类似 事情 系统 信息 茧房 不利于 网友 思考 开发者 回复 小伙伴 评论 情况 删除 显示 链接 提交 申诉 评论 核实 恢复,负面,"[(4, 0.6647078), (5, 0.30317804)]",4
,2024-07-29 18:31:02,华为大nb,1,给四星是为了能被看到,站现在变味了，跟抖音差不多，几乎失去希望了,变味 跟抖 希望,负面,"[(0, 0.016671052), (1, 0.4629629), (2, 0.016671177), (3, 0.016671121), (4, 0.016671125), (5, 0.016671345), (6, 0.01667123), (7, 0.016671123), (8, 0.016671065), (9, 0.32031238), (10, 0.016671136), (11, 0.016671147), (12, 0.016671078), (13, 0.016671034), (14, 0.016671062)]",1
,2024-07-29 17:13:04,Nmmmmmcv,1,账号封禁,我才刚下载的软件账号显示两个月前给我永久封禁了我要求转人工询问还没办法询问就这种服务还干什么,下载 软件 账号 显示 封禁 人工 询问 办法 询问,负面,"[(0, 0.33980316), (6, 0.43766046), (10, 0.14252293)]",6
,2024-07-29 16:08:02,kimilijia,3,使用体验,黑屏听视屏时总是闪退，再打开就会卡，越来越多擦边博主视频真的很蠢,视屏 闪退 打开 擦边 博主 视频 很蠢,负面,"[(7, 0.8832765)]",7
,2024-07-29 12:09:28,Black Chrismas,2,容易崩溃,功能越来越多了，内存占用也越来越大。我14，每次切出去回来十有五六会重启，之前看的视频就不见了。能不能优化下内存，再不济，记录下之前播放的位置，如果识别到被系统关闭，且短时间切回来，从原来的视频开始播放。这点还是做得到的吧？,功能 内存 占用 切出去 回来 重启 视频 不见 内存 不济 记录 播放 位置 识别 系统 关闭 短时间 回来 视频 播放,负面,"[(10, 0.95553863)]",10
,2024-07-29 10:47:28,的饭店,1,大会员没啥意义,开了会员一样有广告,会员 广告,负面,"[(0, 0.6888871), (1, 0.022222437), (2, 0.022222461), (3, 0.02222243), (4, 0.022222314), (5, 0.022222312), (6, 0.022222333), (7, 0.022222318), (8, 0.022222344), (9, 0.022222318), (10, 0.022222329), (11, 0.022222325), (12, 0.022222314), (13, 0.022222327), (14, 0.02222231)]",0
,2024-07-29 09:59:53,阿里2233,1,诱骗买联合会员 欺诈,千万别买联合会员 买前看清楚 别买到年卡季卡组合 骗子,联合 会员 买前 买到 组合 骗子,负面,"[(1, 0.69442725), (9, 0.1816808)]",1
,2024-07-29 03:23:22,才不是本子墨,1,竖屏bug以及迟来的对竖屏感想,黑屏有声音无画面，必须进竖屏模式才有画面。别整你那构式竖屏模式了，直播都改成竖屏真不知道怎么想的，看到抖音成功就迫不及待出竖屏模式，恶心用户还整出一堆。,声音 画面 模式 画面 别整 构式 竖屏 模式 改成 竖屏 成功 模式 恶心 用户 整出,负面,"[(0, 0.2956641), (1, 0.65014964)]",1
,2024-07-29 01:02:00,路痴@12,1,最差劲的视频软件👎,风气、各种广告的问题我就不说了，毕竟很多人都吐槽过。我只是想说，你个靠家做起来的网站在家歌曲没有违规的情况下是怎么有脸删除大量在站内多年的歌曲的？？？家几百万播放的视频说没就没，各种各样的低俗、无意义视频不管不顾，专门举报不予理睬，，，真的寒心。当然了，我也做不了什么别的，取消大会员+一星差评送给你,风气 广告 网站 歌曲 情况 删除 歌曲 播放 视频 低俗 意义 视频 举报 寒心 做不了 取消 会员 星差 送给,负面,"[(5, 0.68551385), (13, 0.27111068)]",5
,2024-07-28 23:27:23,重复的名字：,4,永封+注销问题,希望能解决一下这个问题，这直接导致手机号不能再次注册，可以设置一个实名等略微私密的身份认证，设置一些任务完善这个账号的信任程度,希望 解决 导致 手机号 注册 实名 私密 身份 认证 完善 账号 信任 程度,负面,"[(0, 0.28753376), (11, 0.65049285)]",11
,2024-07-28 22:13:51,sj➕➖➕,1,为什么不提醒我工房的商品到售？,不提醒为什么要开那个按钮 我讨厌你,提醒 按钮 讨厌,负面,"[(0, 0.016668357), (1, 0.0166683), (2, 0.016668325), (3, 0.016668294), (4, 0.016668309), (5, 0.016668294), (6, 0.0166683), (7, 0.26352715), (8, 0.24706016), (9, 0.016668294), (10, 0.0166683), (11, 0.016668294), (12, 0.28939304), (13, 0.016668294), (14, 0.016668294)]",12
,2024-07-28 21:32:48,一人行suanny,1,垃圾,新版本就是一坨垃圾，点了自动播放，依然不自动播放，搜索叶也不好用，感觉乱七八糟，越更越垃圾，什么玩意,版本 垃圾 搜索 感觉 垃圾 玩意,负面,"[(2, 0.5448577), (8, 0.3313291)]",2
,2024-07-28 21:29:37,好哔哩哔哩,5,爱哔哩哔哩,好用，有影视，有番剧,影视,负面,"[(0, 0.033345483), (1, 0.033345446), (2, 0.033345446), (3, 0.033345446), (4, 0.5331636), (5, 0.03334546), (6, 0.03334551), (7, 0.033345446), (8, 0.033345446), (9, 0.03334548), (10, 0.033345446), (11, 0.033345465), (12, 0.033345446), (13, 0.033345476), (14, 0.033345446)]",4
,2024-07-28 18:50:39,Artedia950108,1,软件做的还不如安卓端,（该条评论已经被删除）我的老安卓刷都不发烫，你这软件怎么改的？,评论 删除 发烫 软件,负面,"[(0, 0.013335661), (1, 0.0133356545), (2, 0.013335656), (3, 0.013335662), (4, 0.013335672), (5, 0.013335694), (6, 0.013335672), (7, 0.013335662), (8, 0.013335674), (9, 0.013335662), (10, 0.013335661), (11, 0.8133007), (12, 0.013335657), (13, 0.013335676), (14, 0.013335652)]",11
,2024-07-28 17:09:07,蝴蝶夹卡卡,1,你马都死了,怎么我看个视频都闪退和卡顿啊,视频 闪退,负面,"[(0, 0.022222327), (1, 0.022222348), (2, 0.022222335), (3, 0.022222348), (4, 0.02222234), (5, 0.022222344), (6, 0.022222498), (7, 0.68888706), (8, 0.022222344), (9, 0.022222342), (10, 0.022222348), (11, 0.02222235), (12, 0.022222329), (13, 0.022222364), (14, 0.022222325)]",7
,2024-07-28 16:17:09,肝金游戏,1,控评删评，垃圾东西每天一个差评给你们,倒闭了我会放个鞭炮 -----------------------------------------------------------------------------------------  开发者回复：小伙伴的评论情况如果出现被删除或不能显示，您可以通过链接（://../5//）提交申诉，如果您的评论核实无问题会帮您恢复。,倒闭 我会 鞭炮 开发者 回复 小伙伴 评论 情况 删除 显示 链接 提交 申诉 评论 核实 恢复,负面,"[(5, 0.3397319), (9, 0.6092705)]",9
,2024-07-28 13:55:37,12899号的改变都能做,1,别给我推明星黑料,站是要倒了吗？粉黑大战，乌烟瘴气，影视区主是在搞文字狱吗？,影视 区主 文字狱,负面,"[(0, 0.016674869), (1, 0.016674858), (2, 0.016674858), (3, 0.016674858), (4, 0.016674915), (5, 0.016674861), (6, 0.76655185), (7, 0.016674858), (8, 0.016674858), (9, 0.016674867), (10, 0.016674858), (11, 0.016674863), (12, 0.016674858), (13, 0.016674865), (14, 0.016674858)]",6
,2024-07-28 12:24:27,疐忈,1,垃圾,能不能把你那个私人续费给弄掉 老子都不知道走哪关 你莫名其妙给我扣钱 你以为我钱很多吗,私人 弄掉 老子 扣钱,负面,"[(0, 0.013346239), (1, 0.013346239), (2, 0.57857364), (3, 0.013346239), (4, 0.013346239), (5, 0.013346239), (6, 0.013346239), (7, 0.013346239), (8, 0.24792525), (9, 0.013346239), (10, 0.013346239), (11, 0.013346239), (12, 0.013346239), (13, 0.013346241), (14, 0.013346239)]",2
,2024-07-28 11:45:32,艾比小姐～,4,为什么平板没有会员购！,这对我们这些平板党来说真的很崩溃，九敏，真的不能改改吗,平板 崩溃 改改,负面,"[(0, 0.016673598), (1, 0.016673598), (2, 0.016673598), (3, 0.016673611), (4, 0.016673598), (5, 0.016673606), (6, 0.016673638), (7, 0.016673658), (8, 0.016673598), (9, 0.016673602), (10, 0.016673602), (11, 0.01667361), (12, 0.7665695), (13, 0.016673608), (14, 0.016673598)]",12
,2024-07-28 11:24:28,一只屑太阳,1,乐子太多,以前很喜欢这个网站，但是现在站乐子太多了，到处骂人,喜欢 网站 乐子 骂人,负面,"[(0, 0.013352596), (1, 0.013352635), (2, 0.013352591), (3, 0.013352593), (4, 0.013352593), (5, 0.013352662), (6, 0.013352608), (7, 0.013352593), (8, 0.013352593), (9, 0.25731558), (10, 0.013352595), (11, 0.56910056), (12, 0.013352611), (13, 0.013352628), (14, 0.0133525925)]",11
,2024-07-28 10:33:41,shzjsnxjx,4,快同步平板功能,听视频，快捷切换账号，自动识别视频，我想你了😭,视频 快捷 切换 账号 自动识别 视频,负面,"[(0, 0.22919767), (7, 0.646906)]",7
,2024-07-28 10:05:34,vmgux,1,广告真多,一刷新全是广告,刷新 广告,负面,"[(0, 0.6888862), (1, 0.022222487), (2, 0.02222263), (3, 0.02222248), (4, 0.02222236), (5, 0.022222368), (6, 0.022222385), (7, 0.02222238), (8, 0.02222239), (9, 0.022222362), (10, 0.022222385), (11, 0.022222377), (12, 0.02222238), (13, 0.022222413), (14, 0.022222362)]",0
,2024-07-28 01:38:03,劲劲M,5,说吃黑流量的逗死我,（该条评论已经被删除）乐,评论 删除,负面,"[(0, 0.022222241), (1, 0.022222238), (2, 0.022222238), (3, 0.022222238), (4, 0.022222267), (5, 0.68888855), (6, 0.022222253), (7, 0.022222238), (8, 0.02222226), (9, 0.02222225), (10, 0.022222249), (11, 0.022222275), (12, 0.022222241), (13, 0.02222225), (14, 0.022222243)]",5
,2024-07-28 00:43:32,狙击大王初音未来,1,史,（该条评论已经被删除）纯史,评论 删除 纯史,负面,"[(0, 0.016695067), (1, 0.016695065), (2, 0.016695065), (3, 0.016695065), (4, 0.016695088), (5, 0.4679505), (6, 0.016695078), (7, 0.016695065), (8, 0.016695084), (9, 0.016695077), (10, 0.016695075), (11, 0.016695095), (12, 0.016695067), (13, 0.31501353), (14, 0.01669507)]",5
,2024-07-27 23:45:48,qinggan,1,垃圾b站吞我评论,做不好就別做了這個平台也快完了，一個個正常的評論那刪這刪的，那些賣片的不管正常評論管的挺積極的,平台 評論 賣片 評論 積極,负面,"[(0, 0.011117549), (1, 0.011117549), (2, 0.01111755), (3, 0.011117549), (4, 0.84435433), (5, 0.011117553), (6, 0.011117549), (7, 0.011117551), (8, 0.011117554), (9, 0.011117554), (10, 0.011117549), (11, 0.011117551), (12, 0.011117552), (13, 0.011117553), (14, 0.011117549)]",4
,2024-07-27 21:14:32,蝎子一只,1,我靠 B站有病吧。给我恶心到了,今天偶然点进推荐页。  全是。鼻子超恶心黑头。 和各种甲沟炎。 狂点不感兴趣还一直推。真的看吐了。 平均每屏推荐都能赶上一个。     然后还有一些背的画面也恶心。   从没点开过推荐。  也没关注过那些内容。 收了多少恶心赞助,推荐 鼻子 恶心 黑头 狂点 看吐 平均 推荐 画面 恶心 开过 推荐 关注 内容 恶心 赞助,负面,"[(2, 0.114430405), (4, 0.83455956)]",4
,2024-07-27 15:46:24,法国湖也是,1,低俗/玩烂梗,站社会风气恶劣，审核不作为，不下架引战、网暴、烂梗、低俗视频，并且纵容,恶劣 审核 引战 网暴 低俗 视频 纵容,负面,"[(4, 0.62072504), (7, 0.27088717)]",4
,2024-07-27 15:16:58,带妹好球,1,B站不要不要不要实名认证！！！,（该条评论已经被删除）给大家的忠告，绝对绝对绝对不要实名认证，因为如果你不小心违规了，他们封禁的不仅仅是一个小破站账号，还有可能抖音，快手，知乎，小红书，微博等给你来个连坐！！！大清亡了一百多年了啊！他们是直接锁你的身份，不给你任何机会，真是滑天下之大稽，视法律和用户权益为儿戏！！！他们是想要我们社死！！！,评论 删除 忠告 实名 认证 小心 封禁 账号 知乎 连坐 身份 机会 法律 用户 权益 儿戏 想要 社死,负面,"[(0, 0.95085186)]",0
,2024-07-27 15:14:40,..查拉图特斯拉,3,最近广告太多 还辣眼睛,纯广告的视频越来越多，质量差就不说了，不小心刷到还辣眼睛，能不能给大会员开个纯净无广模式？,广告 视频 质量 小心 刷到 眼睛 会员 纯净 模式,负面,"[(0, 0.2545633), (3, 0.39617103), (4, 0.2692214)]",3
,2024-07-27 11:21:39,Aries荷包蛋,4,我才刚进站就别问了我寻思我也不知道啊,我都没玩我也没办法给评价啊这样不科学你们应该晚点再问,办法 评价 科学 晚点,负面,"[(0, 0.6397465), (1, 0.013345081), (2, 0.013345089), (3, 0.013345082), (4, 0.013345081), (5, 0.013345081), (6, 0.013345094), (7, 0.013345087), (8, 0.013345082), (9, 0.013345082), (10, 0.18676744), (11, 0.013345104), (12, 0.013345081), (13, 0.013345081), (14, 0.013345081)]",0
,2024-07-27 09:18:55,bhddxjjhyfvjjkfdc,1,越来越恶心了了呢，类似微博小红书抖音之类的,热搜全是引导那帮脑子不正常的吵架的，还不能关！流量你是玩明白了。评论区弹幕区里全是那些脑子不太正常的，要么素质不高，要么抬杠，要么扣帽子。视频质量也在下降，全去搞那些恶心人的流量？我寻思着正常人真那么少？,引导 脑子 吵架 流量 评论 弹幕 脑子 素质 抬杠 扣帽子 视频 质量 下降 恶心 流量 正常人,负面,"[(2, 0.4971687), (4, 0.30352223), (11, 0.15222667)]",2
,2024-07-27 07:07:25,福柯也可,1,挺烂的,现在就是无尽的广告和删评，没有那味道了,广告 删评 味道,负面,"[(0, 0.016691701), (1, 0.4785883), (2, 0.016691726), (3, 0.016691722), (4, 0.016691698), (5, 0.016691698), (6, 0.016691701), (7, 0.0166917), (8, 0.30441955), (9, 0.016691698), (10, 0.016691701), (11, 0.016691701), (12, 0.01669172), (13, 0.016691701), (14, 0.016691698)]",1
,2024-07-27 02:37:39,我我我我我又不乱来,1,垃圾,各种意义上的垃圾，无须多言。,意义 垃圾,负面,"[(0, 0.02222244), (1, 0.0222225), (2, 0.022222444), (3, 0.022222415), (4, 0.022222409), (5, 0.022222416), (6, 0.688886), (7, 0.022222463), (8, 0.022222422), (9, 0.022222403), (10, 0.022222409), (11, 0.022222418), (12, 0.022222461), (13, 0.022222409), (14, 0.022222415)]",6
,2024-07-26 16:46:32,刀客塔原神好玩吗,1,b战可能变质但一定不会倒闭,能不能改回横屏啊怎么改回横屏耽误叔叔洽米了吗😅,改回 横屏 改回 横屏 耽误 叔叔,负面,"[(4, 0.86659974)]",4
,2024-07-26 14:35:21,·Time||Bystarlight,1,陀螺仪跳转,不是吧？别的软件开屏广告跳转也就算了，你这个软件竟然在正常使用的主页稍微歪一下手机也跳转广告？？？,软件 开屏 广告 跳转 软件 主页 手机 跳转 广告,负面,"[(1, 0.2441802), (3, 0.66915196)]",3
,2024-07-26 09:42:06,老鼠人求助,5,这个App真的很实用,无聊的时候你可以上这个上去看看视频,无聊 视频,负面,"[(0, 0.02222322), (1, 0.022223232), (2, 0.022223236), (3, 0.02222321), (4, 0.022223234), (5, 0.022223292), (6, 0.3118155), (7, 0.39928237), (8, 0.022223234), (9, 0.022223221), (10, 0.022223258), (11, 0.02222327), (12, 0.022223227), (13, 0.022223288), (14, 0.02222321)]",7
,2024-07-26 08:07:33,11553969,2,算法一般,你们的算法只会给人不停推同一类型的视频没有变化，越刷越无聊， 能让人越刷越有意思。你们这样短视频竞争不过抖音的,算法 类型 视频 刷越 无聊 刷越 视频,负面,"[(11, 0.6950112), (13, 0.19661923)]",11
,2024-07-25 22:13:16,马小然马小然,1,乱改一通！,原来视频右上角那个小耳机按键去哪里了，现在要听音频还要点右下角那个，麻烦死了，改回来！,视频 耳机 按键 音频 麻烦,负面,"[(0, 0.011111428), (1, 0.011111439), (2, 0.011111432), (3, 0.011111428), (4, 0.011111431), (5, 0.011111431), (6, 0.011111428), (7, 0.01111147), (8, 0.011111431), (9, 0.011111429), (10, 0.8444399), (11, 0.011111436), (12, 0.011111429), (13, 0.011111439), (14, 0.011111428)]",10
,2024-07-25 17:26:21,二鬼家人,4,相当好,没有强行植入广告就是最棒的,强行 植入 广告,负面,"[(0, 0.016668113), (1, 0.016668132), (2, 0.4913676), (3, 0.016668132), (4, 0.01666811), (5, 0.01666811), (6, 0.016668113), (7, 0.016668145), (8, 0.016668115), (9, 0.01666811), (10, 0.016668113), (11, 0.016668111), (12, 0.01666811), (13, 0.29194686), (14, 0.01666811)]",2
,2024-07-25 16:31:15,免费 无广告 非常好,1,动态排版干嘛改啊！,真的很不喜欢！！ 改成像在刷短视频似的，一行就一个了，信息量太少了，赶快给我改回来,喜欢 改成 刷短 视频 信息量,负面,"[(0, 0.011123207), (1, 0.011123219), (2, 0.011123195), (3, 0.011123194), (4, 0.011123213), (5, 0.011123222), (6, 0.011123198), (7, 0.011123217), (8, 0.0111232), (9, 0.011123254), (10, 0.011123199), (11, 0.84427506), (12, 0.011123195), (13, 0.011123204), (14, 0.011123192)]",11
,2024-07-25 14:43:28,lovejty,1,垃圾b站早死早好,回想了一下，用了九年，站越来越烂，游戏圈成米家臭龟的天下，擦边买批鸡遍地都是，还能靠洗白成百万，直播付费也跟外站趋同，有些还比外站贵，那我用你的意义在哪呢,回想 游戏 圈成 擦边 买批 遍地 洗白 付费 外站 趋同 外站 意义,负面,"[(0, 0.863319), (6, 0.069964014)]",0
