内容,主题概率,主题类型
粒米 收到 短粒,"[(0, 0.03130059), (1, 0.0312941), (2, 0.031348903), (3, 0.0313288), (4, 0.7807464), (5, 0.031301923), (6, 0.031363115), (7, 0.03131617)]",4
好吃 一点 骗人,"[(0, 0.031281322), (1, 0.031297326), (2, 0.0312895), (3, 0.031258244), (4, 0.031269755), (5, 0.7810555), (6, 0.031261355), (7, 0.03128699)]",5
脏东西 袋子,"[(0, 0.04171659), (1, 0.041704156), (2, 0.38938442), (3, 0.04170012), (4, 0.041703917), (5, 0.041718204), (6, 0.36036894), (7, 0.04170362)]",2
难吃 受骗上当,"[(0, 0.041709945), (1, 0.7079904), (2, 0.041720495), (3, 0.04171054), (4, 0.04171758), (5, 0.041711785), (6, 0.041714042), (7, 0.041725162)]",1
陈米 上当,"[(0, 0.041799437), (1, 0.04182995), (2, 0.04189083), (3, 0.041699495), (4, 0.041679043), (5, 0.04188109), (6, 0.041917898), (7, 0.7073023)]",7
一点 米香 煮饭 满意,"[(0, 0.025059255), (1, 0.025089495), (2, 0.26448432), (3, 0.02503848), (4, 0.5851217), (5, 0.025073824), (6, 0.025044568), (7, 0.025088405)]",4
国标 四位数 五位数,"[(0, 0.7805463), (1, 0.031350527), (2, 0.0313505), (3, 0.031350553), (4, 0.031350553), (5, 0.031350456), (6, 0.031350516), (7, 0.03135061)]",0
口感 极差 坑人 两块钱 小丁米 好吃,"[(0, 0.017872198), (1, 0.017881528), (2, 0.01787535), (3, 0.017878884), (4, 0.87483716), (5, 0.01790061), (6, 0.01786879), (7, 0.017885499)]",4
难吃 一斤,"[(0, 0.041689392), (1, 0.041794557), (2, 0.04171527), (3, 0.04168802), (4, 0.04172194), (5, 0.04168037), (6, 0.04169122), (7, 0.70801926)]",7
大米 不好 一股 霉味,"[(0, 0.5968415), (1, 0.025023108), (2, 0.025047602), (3, 0.025019798), (4, 0.025046851), (5, 0.025030421), (6, 0.2529874), (7, 0.025003226)]",0
直播间 相差太大 忽悠,"[(0, 0.03125323), (1, 0.031266112), (2, 0.031325124), (3, 0.7811003), (4, 0.0312671), (5, 0.031266473), (6, 0.03125902), (7, 0.031262636)]",3
粒米 发过来,"[(0, 0.04171553), (1, 0.041720454), (2, 0.7078761), (3, 0.04171416), (4, 0.041779086), (5, 0.041715614), (6, 0.041764908), (7, 0.04171419)]",2
骗子,"[(0, 0.062536195), (1, 0.56227213), (2, 0.06250269), (3, 0.06250269), (4, 0.0625065), (5, 0.062635355), (6, 0.06250269), (7, 0.06254174)]",1
煮饭 好吃 回购,"[(0, 0.26103774), (1, 0.03132508), (2, 0.03130268), (3, 0.03128384), (4, 0.031313963), (5, 0.031333856), (6, 0.03129717), (7, 0.5511057)]",7
慎重 购买,"[(0, 0.04175332), (1, 0.041675635), (2, 0.041676424), (3, 0.041757744), (4, 0.04167036), (5, 0.7080656), (6, 0.041682485), (7, 0.041718386)]",5
宣传 不符 口感 不好 剩饭,"[(0, 0.02085083), (1, 0.020868637), (2, 0.020855432), (3, 0.020873146), (4, 0.8539019), (5, 0.020853246), (6, 0.020903092), (7, 0.020893682)]",4
无良 商家 质量,"[(0, 0.031263813), (1, 0.03130059), (2, 0.031260785), (3, 0.031273108), (4, 0.031277113), (5, 0.031305242), (6, 0.78105533), (7, 0.03126401)]",6
不好 广告 不符 建议,"[(0, 0.025047222), (1, 0.02501869), (2, 0.025014082), (3, 0.025014658), (4, 0.6152316), (5, 0.2346203), (6, 0.025027683), (7, 0.025025783)]",4
差评 直播间 很贵 一点 好吃,"[(0, 0.020862585), (1, 0.020882295), (2, 0.31879544), (3, 0.020859346), (4, 0.020862471), (5, 0.020879729), (6, 0.02085607), (7, 0.556002)]",7
骗人 难吃,"[(0, 0.041722283), (1, 0.7079467), (2, 0.041805785), (3, 0.041677643), (4, 0.041699756), (5, 0.041773435), (6, 0.041688297), (7, 0.04168609)]",1
米真 难吃 上当,"[(0, 0.031298745), (1, 0.21955712), (2, 0.031326722), (3, 0.031288516), (4, 0.031298082), (5, 0.03131076), (6, 0.59260446), (7, 0.031315573)]",6
一点 好吃,"[(0, 0.041708987), (1, 0.041744594), (2, 0.04169409), (3, 0.04168073), (4, 0.041698333), (5, 0.70803565), (6, 0.041684046), (7, 0.04175358)]",5
骗人 寄过来 好丑 那种 珍珠米,"[(0, 0.85380167), (1, 0.020913027), (2, 0.02088678), (3, 0.020881025), (4, 0.020889705), (5, 0.02088075), (6, 0.020870699), (7, 0.02087633)]",0
看着 好看 难吃,"[(0, 0.031261995), (1, 0.48558646), (2, 0.031290844), (3, 0.031298667), (4, 0.031266067), (5, 0.031324152), (6, 0.031313878), (7, 0.32665795)]",1
难吃 不熟 感觉,"[(0, 0.031318642), (1, 0.031342223), (2, 0.031293754), (3, 0.031268373), (4, 0.03133659), (5, 0.03130311), (6, 0.03127423), (7, 0.7808631)]",7
口感 不好 反正 难吃,"[(0, 0.025013568), (1, 0.025065714), (2, 0.02503236), (3, 0.02500769), (4, 0.8248296), (5, 0.025013031), (6, 0.025013428), (7, 0.025024619)]",4
你家 一点 好吃,"[(0, 0.03126998), (1, 0.03128925), (2, 0.03126325), (3, 0.031256806), (4, 0.031265292), (5, 0.7811035), (6, 0.03126459), (7, 0.031287383)]",5
真的 差劲 推荐,"[(0, 0.031267826), (1, 0.031264137), (2, 0.03128334), (3, 0.0312681), (4, 0.031264074), (5, 0.7811259), (6, 0.03125206), (7, 0.031274565)]",5
快递 包装,"[(0, 0.041683182), (1, 0.7081556), (2, 0.04169328), (3, 0.041669663), (4, 0.041721415), (5, 0.041699618), (6, 0.041677058), (7, 0.041700233)]",1
玩意 信息,"[(0, 0.041668367), (1, 0.04166837), (2, 0.7082406), (3, 0.04168467), (4, 0.04168135), (5, 0.041668367), (6, 0.041717146), (7, 0.041671127)]",2
珍珠米 难吃 煮饭,"[(0, 0.03128168), (1, 0.7809758), (2, 0.031279482), (3, 0.03127483), (4, 0.031307004), (5, 0.03127541), (6, 0.031279948), (7, 0.03132583)]",1
陈米 好吃,"[(0, 0.041681975), (1, 0.04171399), (2, 0.041685052), (3, 0.041683502), (4, 0.041688863), (5, 0.041726846), (6, 0.04167335), (7, 0.7081464)]",7
好多 米粒 一点 好吃,"[(0, 0.025069976), (1, 0.025066862), (2, 0.48262843), (3, 0.025033403), (4, 0.02507796), (5, 0.36700743), (6, 0.025049146), (7, 0.025066735)]",2
口感 大米,"[(0, 0.041675318), (1, 0.041695774), (2, 0.041713137), (3, 0.041695524), (4, 0.44328502), (5, 0.041739274), (6, 0.30651146), (7, 0.04168449)]",4
大米 煮起来 棉花 办法,"[(0, 0.025033351), (1, 0.025045946), (2, 0.56340593), (3, 0.025049139), (4, 0.28625008), (5, 0.025064431), (6, 0.02511827), (7, 0.025032822)]",2
大米 真的 莱斯 夹生,"[(0, 0.025030786), (1, 0.025037248), (2, 0.02503553), (3, 0.025038397), (4, 0.02503913), (5, 0.824719), (6, 0.025062868), (7, 0.02503706)]",5
东西 直播间 骗人,"[(0, 0.03131145), (1, 0.03128692), (2, 0.7810143), (3, 0.03128051), (4, 0.0312681), (5, 0.0313107), (6, 0.03126952), (7, 0.031258438)]",2
真空包装 袋子,"[(0, 0.041685894), (1, 0.0416759), (2, 0.041676182), (3, 0.041674282), (4, 0.041675802), (5, 0.041681524), (6, 0.7082427), (7, 0.041687716)]",6
播间 发货,"[(0, 0.041718747), (1, 0.041752174), (2, 0.70772), (3, 0.04171908), (4, 0.04182624), (5, 0.041814003), (6, 0.041715886), (7, 0.041733894)]",2
大米 质量 好吃,"[(0, 0.03126796), (1, 0.031281807), (2, 0.031266004), (3, 0.031270258), (4, 0.031272758), (5, 0.78103185), (6, 0.03133932), (7, 0.031270053)]",5
公斤 到手 骗子,"[(0, 0.031288248), (1, 0.03131095), (2, 0.03128268), (3, 0.03134887), (4, 0.03129008), (5, 0.7809073), (6, 0.031282682), (7, 0.03128922)]",5
第一次 三块 一斤 大米,"[(0, 0.025088454), (1, 0.025023289), (2, 0.025035687), (3, 0.82460207), (4, 0.025054408), (5, 0.02503999), (6, 0.025072569), (7, 0.025083523)]",3
买一送一 没得 骗人,"[(0, 0.031305403), (1, 0.031304564), (2, 0.7808836), (3, 0.03129729), (4, 0.031300012), (5, 0.03131436), (6, 0.031298567), (7, 0.031296212)]",2
骗人 五斤 十斤,"[(0, 0.031308133), (1, 0.031378593), (2, 0.5071212), (3, 0.031298354), (4, 0.031301636), (5, 0.30493483), (6, 0.03134819), (7, 0.0313091)]",2
时说 斤数 骗人,"[(0, 0.0312895), (1, 0.031288657), (2, 0.780902), (3, 0.031319145), (4, 0.031312626), (5, 0.031314064), (6, 0.031282675), (7, 0.0312913)]",2
山药 储存 方式 东北 供暖 天气 屋里 很凉 收到 几天 发现 一根 腐烂 发现 三根 吃掉 一根 想着 影响 商家 发现 腐烂 商家 沟通 赔付 三元 山药 上带,"[(6, 0.9697675)]",6
斤装 山药 大部分 黑斑 流水 照片,"[(0, 0.017883157), (1, 0.017885512), (2, 0.87469697), (3, 0.017879575), (4, 0.017888345), (5, 0.017946161), (6, 0.017913578), (7, 0.0179067)]",2
买烂 氧化 氧化,"[(0, 0.031272497), (1, 0.031272516), (2, 0.03127251), (3, 0.03127252), (4, 0.03127252), (5, 0.031291638), (6, 0.031272512), (7, 0.78107333)]",7
山药 理解 长途运输 难免会 发霉 长毛 情况 商家 态度 认同 山药 切面 发霉 切面 下边 山药 白色 好奇 事儿 换成 商家 收到 长毛 山药 不吃,"[(5, 0.82833797), (7, 0.14273001)]",5
刷过 泥巴 时带 人工 狠活 无良 商家 散落 泥巴 泥巴 颜色 网袋 精装,"[(1, 0.099290125), (7, 0.84704655)]",7
直播间 拿到 性价比 描述 不符 希望 良心 商家 欺骗 消费者 选择 直播间,"[(2, 0.46206558), (4, 0.48017094)]",4
特别 清洗 特别 不好 推荐 购买 客服 特别 好吃 推荐,"[(0, 0.011380814), (1, 0.011379969), (2, 0.011379656), (3, 0.011383197), (4, 0.01138074), (5, 0.92035), (6, 0.011371574), (7, 0.011374048)]",5
山药 品质 不行 新鲜 像是 口感 描述 相符 情况 假冒 伪略 山药 皮轻 一抹 实体店 踏实,"[(5, 0.94838166)]",5
八天 不好,"[(0, 0.7077036), (1, 0.041757096), (2, 0.041748963), (3, 0.041751042), (4, 0.04180581), (5, 0.041752283), (6, 0.041744765), (7, 0.041736465)]",0
第一次 品质 对得起 五斤 价格 回购 品质 口感 第一次 直播间 大小,"[(0, 0.010451159), (1, 0.010426825), (2, 0.010437797), (3, 0.010429068), (4, 0.010432978), (5, 0.92696464), (6, 0.010425384), (7, 0.01043217)]",5
拍下 收到 开发 霉烂 五条,"[(0, 0.02086909), (1, 0.020879358), (2, 0.020873532), (3, 0.020873094), (4, 0.02087), (5, 0.020869277), (6, 0.8538943), (7, 0.020871328)]",6
愉快 购物 最贵 大果 那根 赠品 客服 协商 过程 愉快 果子 直播间,"[(5, 0.9325623)]",5
评价 失望 一点 不好 削皮 好吃 铁棍 好吃,"[(0, 0.55838877), (1, 0.013918087), (2, 0.013905557), (3, 0.013902851), (4, 0.01391096), (5, 0.3581427), (6, 0.013905484), (7, 0.013925605)]",0
质量 宣传 一点 相符,"[(0, 0.025034193), (1, 0.025057312), (2, 0.02501647), (3, 0.025062593), (4, 0.02502434), (5, 0.02506538), (6, 0.8246939), (7, 0.025045754)]",6
十几块 一斤 山药 泥巴 十几块 欺骗 消费者,"[(0, 0.015630595), (1, 0.015638882), (2, 0.01565576), (3, 0.015630646), (4, 0.015645385), (5, 0.01564652), (6, 0.24478379), (7, 0.6613684)]",7
描述 相符 情况 实物 描述 不符 实物 尖头 发黑 已有 味道 购物 失败,"[(1, 0.6247471), (3, 0.1250074), (5, 0.20553315)]",1
收货 收到 打开 一股 药味 怀疑 较忙 客服 心想 几天 霉味 越来越 发现 发芽 客服 要放 冰箱 请问 谁家 山药 冰箱,"[(2, 0.96014434)]",2
两根,"[(0, 0.062525265), (1, 0.06263662), (2, 0.06252528), (3, 0.062525295), (4, 0.06256129), (5, 0.56217563), (6, 0.06252528), (7, 0.06252531)]",5
山药 质量 价钱 不值 黑斑 坏点 商家 夸大 宣传 商品 不符 希望 客户 要紧 下手,"[(6, 0.9451788)]",6
包装 描述 相符 情况 山药 两根 舒服,"[(0, 0.015632076), (1, 0.35947692), (2, 0.015633052), (3, 0.015677964), (4, 0.015636543), (5, 0.54666185), (6, 0.015645385), (7, 0.015636204)]",5
很湿 掂量 反馈 卖家 一堆 理由,"[(0, 0.017885275), (1, 0.01788367), (2, 0.017887386), (3, 0.017914524), (4, 0.017893918), (5, 0.8747796), (6, 0.017877225), (7, 0.017878419)]",5
中果 实际上 发是 小果 中果 混合 着装 几根 几根 几根 看着 蔫软 新鲜 时间 卖出去 不值 直播间 忽悠 买家 误导 买家,"[(4, 0.30480972), (5, 0.06401549), (7, 0.60268635)]",7
